Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
49.64897,-23.86164,5.109632,16.2614,0,0,0,0,0,0
49.6823,-23.85837,5.104205,16.27,0,0,0,0,0,0
49.71564,-23.85328,5.100624,16.27647,0,0,0,0,0,0
49.74897,-23.84911,5.096209,16.28407,0,0,0,0,0,0
49.78231,-23.84954,5.094101,16.28712,0,0,0,0,0,0
49.81564,-23.8477,5.092535,16.28995,0,0,0,0,0,0
49.84897,-23.8477,5.092535,16.28995,0,0,0,0,0,0
49.88231,-23.84632,5.092194,16.29083,0,0,0,0,0,0
49.91564,-23.84725,5.091318,16.29206,0,0,0,0,0,0
49.94897,-23.84678,5.090102,16.29403,0,0,0,0,0,0
49.98231,-23.84769,5.089231,16.29513,0,0,0,0,0,0
50.01564,-23.84816,5.088181,16.29568,0,0,0,0,0,0
50.04897,-23.84818,5.088181,16.29582,0,0,0,0,0,0
50.08231,-23.84734,5.089053,16.29516,0,0,0,0,0,0
50.11564,-23.84741,5.092359,16.29027,0,0,0,0,0,0
50.14897,-23.8493,5.094977,16.28494,0,0,0,0,0,0
50.1823,-23.8526,5.095678,16.28142,0,0,0,0,0,0
50.21564,-23.85373,5.098156,16.27839,0,0,0,0,0,0
50.24897,-23.85361,5.101524,16.27695,0,0,0,0,0,0
50.28231,-23.85386,5.111266,16.27656,0,0,0,0,0,0
50.31564,-23.85352,5.119188,16.28543,0,0,0,0,0,0
50.34897,-23.8488,5.131895,16.3053,0,0,0,0,0,0
50.38231,-23.84104,5.156325,16.3342,0,0,0,0,0,0
50.41564,-23.82336,5.18661,16.35482,0,0,0,0,0,0
50.44897,-23.793,5.232814,16.36865,0,0,0,0,0,0
50.48231,-23.76312,5.274292,16.35785,0,0,0,0,0,0
50.51564,-23.74157,5.302719,16.34554,0,0,0,0,0,0
50.54897,-23.72347,5.321842,16.34335,0,0,0,0,0,0
50.58231,-23.71074,5.333137,16.35066,0,0,0,0,0,0
50.61564,-23.69534,5.347063,16.35969,0,0,0,0,0,0
50.64897,-23.6772,5.370873,16.37486,0,0,0,0,0,0
50.6823,-23.6678,5.386805,16.38699,0,0,0,0,0,0
50.71564,-23.66008,5.402205,16.40176,0,0,0,0,0,0
50.74897,-23.65392,5.430406,16.42892,0,0,0,0,0,0
50.78231,-23.64352,5.457269,16.45148,0,0,0,0,0,0
50.81564,-23.63255,5.484452,16.47604,0,0,0,0,0,0
50.84897,-23.62069,5.523534,16.50868,0,0,0,0,0,0
50.88231,-23.61206,5.554665,16.53262,0,0,0,0,0,0
50.91564,-23.59944,5.588809,16.56734,0,0,0,0,0,0
50.94897,-23.58607,5.616021,16.59841,0,0,0,0,0,0
50.98231,-23.56479,5.655813,16.63835,0,0,0,0,0,0
51.01564,-23.54708,5.689531,16.67321,0,0,0,0,0,0
51.04897,-23.52581,5.722596,16.70988,0,0,0,0,0,0
51.08231,-23.49701,5.753873,16.75676,0,0,0,0,0,0
51.11564,-23.46746,5.779704,16.81135,0,0,0,0,0,0
51.14897,-23.44153,5.805721,16.85513,0,0,0,0,0,0
51.1823,-23.41555,5.838347,16.89878,0,0,0,0,0,0
51.21564,-23.39717,5.861578,16.93534,0,0,0,0,0,0
51.24897,-23.38398,5.883484,16.97321,0,0,0,0,0,0
51.28231,-23.37359,5.897941,17.01231,0,0,0,0,0,0
51.31564,-23.36548,5.913043,17.03754,0,0,0,0,0,0
51.34897,-23.35637,5.930842,17.07066,0,0,0,0,0,0
