Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
18.37108,-23.06995,5.861489,17.57389,0,0,0,0,0,0
18.40442,-23.07119,5.86111,17.57064,0,0,0,0,0,0
18.43775,-23.07156,5.860969,17.56969,0,0,0,0,0,0
18.47108,-23.06964,5.861069,17.57006,0,0,0,0,0,0
18.50442,-23.06937,5.860895,17.57072,0,0,0,0,0,0
18.53775,-23.06708,5.860888,17.5737,0,0,0,0,0,0
18.57108,-23.0645,5.86132,17.58208,0,0,0,0,0,0
18.60442,-23.0577,5.861913,17.58911,0,0,0,0,0,0
18.63775,-23.05345,5.860207,17.59706,0,0,0,0,0,0
18.67109,-23.04966,5.860045,17.60382,0,0,0,0,0,0
18.70442,-23.04508,5.860144,17.6095,0,0,0,0,0,0
18.73775,-23.04147,5.859884,17.61115,0,0,0,0,0,0
18.77108,-23.0405,5.858932,17.6075,0,0,0,0,0,0
18.80442,-23.04213,5.857619,17.60029,0,0,0,0,0,0
18.83775,-23.0465,5.856999,17.59668,0,0,0,0,0,0
18.87108,-23.05296,5.856932,17.59686,0,0,0,0,0,0
18.90442,-23.0536,5.857738,17.60139,0,0,0,0,0,0
18.93775,-23.05343,5.858792,17.60789,0,0,0,0,0,0
18.97108,-23.0556,5.859671,17.61296,0,0,0,0,0,0
19.00442,-23.05457,5.860216,17.6156,0,0,0,0,0,0
19.03775,-23.05592,5.86088,17.61968,0,0,0,0,0,0
19.07108,-23.05736,5.861296,17.62205,0,0,0,0,0,0
19.10442,-23.05662,5.861408,17.6224,0,0,0,0,0,0
19.13775,-23.05541,5.861192,17.62237,0,0,0,0,0,0
19.17109,-23.05411,5.860978,17.62547,0,0,0,0,0,0
19.20442,-23.05225,5.860716,17.62994,0,0,0,0,0,0
19.23775,-23.04843,5.860533,17.63487,0,0,0,0,0,0
19.27108,-23.0396,5.860088,17.63894,0,0,0,0,0,0
19.30442,-23.03324,5.859972,17.64575,0,0,0,0,0,0
19.33775,-23.02819,5.860069,17.65375,0,0,0,0,0,0
19.37108,-23.02144,5.859814,17.66151,0,0,0,0,0,0
19.40442,-23.01966,5.859897,17.67025,0,0,0,0,0,0
19.43775,-23.01642,5.859529,17.66941,0,0,0,0,0,0
19.47108,-23.01604,5.860337,17.67035,0,0,0,0,0,0
19.50442,-23.01431,5.8617,17.66582,0,0,0,0,0,0
19.53775,-23.0146,5.862538,17.66082,0,0,0,0,0,0
19.57108,-23.01587,5.864533,17.65336,0,0,0,0,0,0
19.60442,-23.01789,5.866586,17.64408,0,0,0,0,0,0
19.63775,-23.02062,5.868352,17.62862,0,0,0,0,0,0
19.67109,-23.02461,5.870772,17.61006,0,0,0,0,0,0
19.70442,-23.03156,5.871486,17.58127,0,0,0,0,0,0
19.73775,-23.03676,5.871411,17.56411,0,0,0,0,0,0
19.77108,-23.04614,5.870115,17.53668,0,0,0,0,0,0
19.80442,-23.05208,5.869441,17.51331,0,0,0,0,0,0
19.83775,-23.05743,5.870338,17.49578,0,0,0,0,0,0
19.87108,-23.06296,5.870306,17.47782,0,0,0,0,0,0
19.90442,-23.06472,5.870814,17.46031,0,0,0,0,0,0
19.93775,-23.06809,5.871055,17.44894,0,0,0,0,0,0
19.97108,-23.06577,5.87235,17.44402,0,0,0,0,0,0
20.00442,-23.06406,5.87522,17.45162,0,0,0,0,0,0
20.03775,-23.05895,5.87618,17.45543,0,0,0,0,0,0
20.07108,-23.05694,5.875879,17.45285,0,0,0,0,0,0
20.10442,-23.05921,5.87483,17.44722,0,0,0,0,0,0
20.13775,-23.06046,5.874118,17.44281,0,0,0,0,0,0
20.17109,-23.06334,5.874438,17.44451,0,0,0,0,0,0
20.20442,-23.0625,5.875745,17.45101,0,0,0,0,0,0
20.23775,-23.0635,5.877054,17.46182,0,0,0,0,0,0
20.27108,-23.06175,5.878271,17.47498,0,0,0,0,0,0
20.30442,-23.05645,5.880498,17.48811,0,0,0,0,0,0
20.33775,-23.05153,5.882967,17.50473,0,0,0,0,0,0
20.37108,-23.04425,5.885444,17.52278,0,0,0,0,0,0
20.40442,-23.0308,5.888956,17.56058,0,0,0,0,0,0
20.43775,-23.02459,5.889721,17.57598,0,0,0,0,0,0
20.47108,-23.01694,5.89095,17.59346,0,0,0,0,0,0
20.50442,-23.0087,5.891953,17.61239,0,0,0,0,0,0
20.53775,-23.0003,5.892597,17.63016,0,0,0,0,0,0
20.57108,-22.991,5.892621,17.65006,0,0,0,0,0,0
20.60442,-22.98161,5.891164,17.66856,0,0,0,0,0,0
20.63775,-22.97518,5.888882,17.6856,0,0,0,0,0,0
20.67109,-22.96855,5.886928,17.70185,0,0,0,0,0,0
20.70442,-22.95976,5.885723,17.7234,0,0,0,0,0,0
20.73775,-22.95316,5.882803,17.73959,0,0,0,0,0,0
20.77108,-22.94589,5.879365,17.75741,0,0,0,0,0,0
20.80442,-22.94004,5.878118,17.77176,0,0,0,0,0,0
20.83775,-22.93474,5.877192,17.78644,0,0,0,0,0,0
20.87108,-22.92848,5.87472,17.79811,0,0,0,0,0,0
20.90442,-22.92188,5.870657,17.81071,0,0,0,0,0,0
20.93775,-22.91734,5.863999,17.82272,0,0,0,0,0,0
20.97108,-22.91322,5.857133,17.83907,0,0,0,0,0,0
21.00442,-22.91033,5.85052,17.86158,0,0,0,0,0,0
21.03775,-22.91024,5.846575,17.88401,0,0,0,0,0,0
21.07108,-22.91471,5.844632,17.90464,0,0,0,0,0,0
21.10442,-22.92165,5.839421,17.92559,0,0,0,0,0,0
21.13775,-22.93296,5.834767,17.94446,0,0,0,0,0,0
21.17109,-22.94806,5.829659,17.96324,0,0,0,0,0,0
21.20442,-22.96224,5.827076,17.97517,0,0,0,0,0,0
21.23775,-22.97832,5.825889,17.98729,0,0,0,0,0,0
21.27108,-22.99154,5.82638,17.99707,0,0,0,0,0,0
21.30442,-23.015,5.826522,18.0042,0,0,0,0,0,0
21.33775,-23.0329,5.825032,18.00744,0,0,0,0,0,0
21.37108,-23.04868,5.824976,18.0132,0,0,0,0,0,0
21.40442,-23.06474,5.824059,18.01682,0,0,0,0,0,0
21.43775,-23.07787,5.821616,18.02054,0,0,0,0,0,0
21.47108,-23.09717,5.819217,18.02597,0,0,0,0,0,0
21.50442,-23.11104,5.817573,18.02983,0,0,0,0,0,0
21.53775,-23.128,5.817277,18.03399,0,0,0,0,0,0
21.57108,-23.1432,5.817377,18.03585,0,0,0,0,0,0
21.60442,-23.16122,5.816902,18.03775,0,0,0,0,0,0
21.63775,-23.17282,5.816191,18.03949,0,0,0,0,0,0
21.67109,-23.18933,5.814908,18.04168,0,0,0,0,0,0
21.70442,-23.20728,5.810953,18.04359,0,0,0,0,0,0
21.73775,-23.22079,5.805189,18.04448,0,0,0,0,0,0
21.77108,-23.24101,5.798267,18.04724,0,0,0,0,0,0
21.80442,-23.26006,5.79348,18.05423,0,0,0,0,0,0
21.83775,-23.27326,5.790299,18.05783,0,0,0,0,0,0
21.87108,-23.29342,5.787843,18.06554,0,0,0,0,0,0
21.90442,-23.31236,5.787391,18.07309,0,0,0,0,0,0
21.93775,-23.33454,5.786848,18.08013,0,0,0,0,0,0
21.97108,-23.3538,5.786078,18.08243,0,0,0,0,0,0
22.00442,-23.37359,5.78594,18.08582,0,0,0,0,0,0
22.03775,-23.38764,5.785845,18.08547,0,0,0,0,0,0
22.07108,-23.40669,5.785683,18.08581,0,0,0,0,0,0
