Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
5.134202,-22.88048,5.024258,16.76372,0,0,0,0,0,0
5.167535,-22.8803,5.025879,16.76377,0,0,0,0,0,0
5.200868,-22.88046,5.02912,16.76405,0,0,0,0,0,0
5.234201,-22.87929,5.029409,16.76368,0,0,0,0,0,0
5.267535,-22.88144,5.030452,16.76447,0,0,0,0,0,0
5.300868,-22.87977,5.030741,16.76394,0,0,0,0,0,0
5.334201,-22.87926,5.030741,16.76377,0,0,0,0,0,0
5.367535,-22.87959,5.032361,16.764,0,0,0,0,0,0
5.400868,-22.89863,5.022675,16.76978,0,0,0,0,0,0
5.434201,-22.9029,5.020187,16.77111,0,0,0,0,0,0
5.467535,-22.90323,5.020788,16.77126,0,0,0,0,0,0
5.500868,-22.90211,5.019501,16.77079,0,0,0,0,0,0
5.534202,-22.90124,5.02139,16.7706,0,0,0,0,0,0
5.567535,-22.90363,5.019501,16.77132,0,0,0,0,0,0
5.600868,-22.90388,5.01865,16.77135,0,0,0,0,0,0
5.634202,-22.90246,5.015915,16.77068,0,0,0,0,0,0
5.667535,-22.89871,5.020844,16.76929,0,0,0,0,0,0
5.700868,-22.89433,5.023557,16.76794,0,0,0,0,0,0
5.734201,-22.89112,5.026006,16.76699,0,0,0,0,0,0
5.767535,-22.89089,5.031158,16.76725,0,0,0,0,0,0
5.800868,-22.89128,5.039884,16.768,0,0,0,0,0,0
5.834201,-22.88893,5.041271,16.7673,0,0,0,0,0,0
5.867535,-22.88799,5.045064,16.76743,0,0,0,0,0,0
5.900868,-22.88828,5.0472,16.76769,0,0,0,0,0,0
5.934201,-22.88828,5.0472,16.76769,0,0,0,0,0,0
5.967535,-22.88913,5.045301,16.76783,0,0,0,0,0,0
6.000868,-22.86024,4.990824,16.75536,0,0,0,0,0,0
6.034202,-22.79757,4.962269,16.73683,0,0,0,0,0,0
6.067535,-22.76155,5.063709,16.73318,0,0,0,0,0,0
6.100868,-22.75491,5.099815,16.73546,0,0,0,0,0,0
6.134202,-22.74422,5.028622,16.72664,0,0,0,0,0,0
6.167535,-22.74225,4.906827,16.72441,0,0,0,0,0,0
6.200868,-22.68238,5.075264,16.71866,0,0,0,0,0,0
6.234201,-22.69879,5.281174,16.75384,0,0,0,0,0,0
6.267535,-22.59462,5.327501,16.75252,0,0,0,0,0,0
6.300868,-22.58324,4.995269,16.69464,0,0,0,0,0,0
6.334201,-22.37966,5.076419,16.69874,0,0,0,0,0,0
6.367535,-21.72848,5.24522,16.96356,0,0,0,0,0,0
6.400868,-21.3727,5.55864,17.6433,0,0,0,0,0,0
6.434202,-21.67845,5.966469,18.15784,0,0,0,0,0,0
6.467535,-22.32996,7.001101,17.96092,0,0,0,0,0,0
6.500868,-22.43092,7.05358,17.73341,0,0,0,0,0,0
6.534202,-22.38413,7.001864,17.6049,0,0,0,0,0,0
6.567535,-22.15516,7.119125,17.40744,0,0,0,0,0,0
6.600868,-22.17226,6.90855,17.21567,0,0,0,0,0,0
6.634202,-22.38628,6.669455,17.01432,0,0,0,0,0,0
6.667535,-22.72968,6.350624,16.90583,0,0,0,0,0,0
6.700868,-22.8589,5.984962,17.00968,0,0,0,0,0,0
6.734201,-22.92564,5.714355,17.10353,0,0,0,0,0,0
6.767535,-22.88085,5.491581,17.24784,0,0,0,0,0,0
6.800868,-22.82962,5.458265,17.28535,0,0,0,0,0,0
6.834201,-22.82834,5.451071,17.30001,0,0,0,0,0,0
6.867535,-22.75543,5.341347,17.42731,0,0,0,0,0,0
6.900868,-22.79963,5.167148,17.67385,0,0,0,0,0,0
6.934202,-22.87048,5.090898,17.8006,0,0,0,0,0,0
6.967535,-22.91742,5.031261,17.90872,0,0,0,0,0,0
7.000868,-22.90771,5.032183,18.06015,0,0,0,0,0,0
7.034202,-22.97318,5.050314,18.11514,0,0,0,0,0,0
7.067535,-23.06938,5.076558,18.13805,0,0,0,0,0,0
7.100868,-23.10307,5.090409,18.11873,0,0,0,0,0,0
7.134202,-23.07117,5.091451,18.10296,0,0,0,0,0,0
7.167535,-22.94288,5.093672,18.0707,0,0,0,0,0,0
7.200868,-22.78479,5.111256,18.02878,0,0,0,0,0,0
7.234201,-22.68682,5.132159,18.01377,0,0,0,0,0,0
7.267535,-22.59951,5.161763,18.02622,0,0,0,0,0,0
7.300868,-22.55034,5.174881,18.05366,0,0,0,0,0,0
7.334201,-22.52697,5.181866,18.0709,0,0,0,0,0,0
7.367535,-22.5146,5.188049,18.10806,0,0,0,0,0,0
7.400868,-22.52275,5.186884,18.13014,0,0,0,0,0,0
7.434202,-22.53217,5.18308,18.14357,0,0,0,0,0,0
7.467535,-22.54753,5.174869,18.16093,0,0,0,0,0,0
7.500868,-22.56993,5.164153,18.1699,0,0,0,0,0,0
7.534202,-22.59108,5.154412,18.17293,0,0,0,0,0,0
7.567535,-22.62362,5.14329,18.17213,0,0,0,0,0,0
7.600868,-22.65375,5.133841,18.16937,0,0,0,0,0,0
7.634202,-22.66619,5.130163,18.17008,0,0,0,0,0,0
7.667535,-22.67715,5.127039,18.17053,0,0,0,0,0,0
7.700868,-22.68284,5.125158,18.17381,0,0,0,0,0,0
7.734201,-22.68376,5.124907,18.17739,0,0,0,0,0,0
7.767535,-22.68681,5.124074,18.17799,0,0,0,0,0,0
7.800868,-22.69598,5.121623,18.17982,0,0,0,0,0,0
7.834201,-22.70026,5.120511,18.18238,0,0,0,0,0,0
7.867535,-22.71037,5.117904,18.17933,0,0,0,0,0,0
7.900868,-22.72764,5.11367,18.17266,0,0,0,0,0,0
7.934202,-22.74145,5.110683,18.16376,0,0,0,0,0,0
7.967535,-22.75993,5.106782,18.15228,0,0,0,0,0,0
8.000868,-22.76111,5.105443,18.13964,0,0,0,0,0,0
8.034202,-22.75189,5.105362,18.13046,0,0,0,0,0,0
8.067534,-22.74925,5.106258,18.12771,0,0,0,0,0,0
8.100868,-22.75539,5.105277,18.12937,0,0,0,0,0,0
8.134202,-22.75917,5.102999,18.12739,0,0,0,0,0,0
8.167535,-22.76105,5.092493,18.11465,0,0,0,0,0,0
8.200869,-22.75394,5.085931,18.10537,0,0,0,0,0,0
8.234201,-22.74812,5.083618,18.10274,0,0,0,0,0,0
8.267535,-22.73528,5.085212,18.10194,0,0,0,0,0,0
8.300868,-22.71689,5.085454,18.09449,0,0,0,0,0,0
8.334202,-22.70156,5.082297,18.08211,0,0,0,0,0,0
8.367535,-22.65917,5.084437,18.06527,0,0,0,0,0,0
8.400868,-22.61147,5.095367,18.05021,0,0,0,0,0,0
8.434201,-22.58224,5.09897,18.0362,0,0,0,0,0,0
8.467535,-22.54928,5.099039,18.00432,0,0,0,0,0,0
8.500868,-22.5227,5.096288,17.97177,0,0,0,0,0,0
8.534202,-22.5012,5.090868,17.94636,0,0,0,0,0,0
8.567535,-22.46666,5.08221,17.90673,0,0,0,0,0,0
8.600868,-22.47373,5.075888,17.87907,0,0,0,0,0,0
8.634202,-22.49944,5.071341,17.85734,0,0,0,0,0,0
8.667535,-22.53718,5.069527,17.82503,0,0,0,0,0,0
8.700869,-22.55776,5.076594,17.79303,0,0,0,0,0,0
8.734201,-22.56879,5.080907,17.77492,0,0,0,0,0,0
8.767535,-22.57669,5.083122,17.76001,0,0,0,0,0,0
8.800868,-22.57945,5.082894,17.75137,0,0,0,0,0,0
8.834202,-22.58014,5.082848,17.74921,0,0,0,0,0,0
8.867535,-22.57895,5.083449,17.7477,0,0,0,0,0,0
8.900868,-22.57922,5.086298,17.73621,0,0,0,0,0,0
8.934201,-22.58412,5.090687,17.71777,0,0,0,0,0,0
8.967535,-22.59212,5.097948,17.69024,0,0,0,0,0,0
9.000868,-22.59796,5.1046,17.66782,0,0,0,0,0,0
9.034202,-22.60426,5.110695,17.64449,0,0,0,0,0,0
9.067535,-22.6059,5.121796,17.61413,0,0,0,0,0,0
9.100868,-22.60075,5.13228,17.59324,0,0,0,0,0,0
9.134202,-22.59632,5.13897,17.58339,0,0,0,0,0,0
9.167535,-22.59237,5.144079,17.5769,0,0,0,0,0,0
9.200869,-22.58773,5.146897,17.57147,0,0,0,0,0,0
9.234201,-22.58924,5.146379,17.56254,0,0,0,0,0,0
9.267535,-22.58882,5.146755,17.54979,0,0,0,0,0,0
9.300868,-22.59112,5.145503,17.54326,0,0,0,0,0,0
9.334202,-22.59163,5.144679,17.54191,0,0,0,0,0,0
9.367535,-22.5892,5.143275,17.54414,0,0,0,0,0,0
9.400868,-22.58431,5.145714,17.53963,0,0,0,0,0,0
9.434201,-22.58077,5.147893,17.53603,0,0,0,0,0,0
9.467535,-22.58017,5.150693,17.52887,0,0,0,0,0,0
9.500869,-22.57911,5.150346,17.52297,0,0,0,0,0,0
9.534202,-22.58291,5.148437,17.51525,0,0,0,0,0,0
9.567535,-22.5834,5.146488,17.50919,0,0,0,0,0,0
9.600868,-22.58507,5.14398,17.50442,0,0,0,0,0,0
9.634202,-22.58489,5.142121,17.50033,0,0,0,0,0,0
9.667535,-22.58056,5.138774,17.4986,0,0,0,0,0,0
9.700869,-22.57224,5.132402,17.50334,0,0,0,0,0,0
9.734201,-22.56727,5.126752,17.50775,0,0,0,0,0,0
9.767535,-22.566,5.122781,17.51098,0,0,0,0,0,0
9.800868,-22.56522,5.120037,17.51294,0,0,0,0,0,0
9.834202,-22.5644,5.118821,17.51519,0,0,0,0,0,0
9.867535,-22.57154,5.117643,17.51348,0,0,0,0,0,0
9.900868,-22.57924,5.117167,17.51035,0,0,0,0,0,0
9.934201,-22.58185,5.117887,17.50778,0,0,0,0,0,0
9.967535,-22.58294,5.119224,17.50492,0,0,0,0,0,0
10.00087,-22.57797,5.123014,17.50089,0,0,0,0,0,0
10.0342,-22.57095,5.126791,17.49802,0,0,0,0,0,0
10.06754,-22.56149,5.132561,17.49319,0,0,0,0,0,0
10.10087,-22.5537,5.138059,17.48827,0,0,0,0,0,0
10.1342,-22.54525,5.142663,17.48521,0,0,0,0,0,0
10.16753,-22.53534,5.148005,17.48192,0,0,0,0,0,0
10.20087,-22.52397,5.154122,17.47842,0,0,0,0,0,0
10.2342,-22.51368,5.157978,17.47342,0,0,0,0,0,0
10.26754,-22.50183,5.159054,17.47511,0,0,0,0,0,0
10.30087,-22.49424,5.15532,17.48208,0,0,0,0,0,0
10.3342,-22.48735,5.150174,17.49137,0,0,0,0,0,0
10.36753,-22.48714,5.140615,17.50654,0,0,0,0,0,0
10.40087,-22.50109,5.126849,17.52386,0,0,0,0,0,0
10.4342,-22.51296,5.12245,17.5304,0,0,0,0,0,0
10.46754,-22.52501,5.121482,17.53683,0,0,0,0,0,0
10.50087,-22.53564,5.124338,17.53383,0,0,0,0,0,0
10.5342,-22.53975,5.128144,17.53123,0,0,0,0,0,0
10.56754,-22.54328,5.128499,17.53028,0,0,0,0,0,0
10.60087,-22.54238,5.127593,17.5328,0,0,0,0,0,0
10.6342,-22.54043,5.125536,17.53828,0,0,0,0,0,0
10.66753,-22.53674,5.124116,17.54414,0,0,0,0,0,0
10.70087,-22.51884,5.127114,17.55396,0,0,0,0,0,0
10.7342,-22.50581,5.129609,17.55934,0,0,0,0,0,0
10.76754,-22.49548,5.130619,17.5664,0,0,0,0,0,0
10.80087,-22.49082,5.130967,17.57087,0,0,0,0,0,0
10.8342,-22.48818,5.131175,17.57411,0,0,0,0,0,0
10.86753,-22.48656,5.130217,17.57913,0,0,0,0,0,0
10.90087,-22.48545,5.12812,17.58553,0,0,0,0,0,0
10.9342,-22.48326,5.12736,17.59262,0,0,0,0,0,0
10.96754,-22.48035,5.128642,17.59734,0,0,0,0,0,0
11.00087,-22.47896,5.130877,17.59942,0,0,0,0,0,0
11.0342,-22.47727,5.133072,17.60042,0,0,0,0,0,0
11.06754,-22.47677,5.134394,17.60278,0,0,0,0,0,0
11.10087,-22.4783,5.135157,17.6036,0,0,0,0,0,0
11.1342,-22.47942,5.1349,17.60547,0,0,0,0,0,0
11.16753,-22.47647,5.133173,17.61598,0,0,0,0,0,0
11.20087,-22.47433,5.13005,17.62924,0,0,0,0,0,0
11.2342,-22.46898,5.130701,17.63803,0,0,0,0,0,0
11.26754,-22.45686,5.138557,17.63895,0,0,0,0,0,0
11.30087,-22.44218,5.148576,17.63981,0,0,0,0,0,0
11.3342,-22.43038,5.155869,17.64366,0,0,0,0,0,0
11.36753,-22.41631,5.162706,17.64948,0,0,0,0,0,0
11.40087,-22.41183,5.165952,17.65076,0,0,0,0,0,0
11.4342,-22.40777,5.169516,17.65045,0,0,0,0,0,0
11.46754,-22.40433,5.173954,17.64837,0,0,0,0,0,0
11.50087,-22.40548,5.176157,17.64577,0,0,0,0,0,0
11.5342,-22.40603,5.17749,17.64495,0,0,0,0,0,0
11.56754,-22.40524,5.177418,17.64911,0,0,0,0,0,0
11.60087,-22.40272,5.177715,17.65396,0,0,0,0,0,0
11.6342,-22.40262,5.175393,17.66115,0,0,0,0,0,0
11.66753,-22.39824,5.173925,17.67115,0,0,0,0,0,0
11.70087,-22.39951,5.169081,17.67979,0,0,0,0,0,0
11.7342,-22.40347,5.163554,17.68647,0,0,0,0,0,0
11.76754,-22.40787,5.156967,17.68929,0,0,0,0,0,0
