Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
19.38767,-23.48107,5.516681,18.24551,0,0,0,0,0,0
19.42101,-23.4795,5.516407,18.24713,0,0,0,0,0,0
19.45434,-23.47716,5.516407,18.2471,0,0,0,0,0,0
19.48767,-23.47794,5.516348,18.24709,0,0,0,0,0,0
19.52101,-23.47481,5.516348,18.24705,0,0,0,0,0,0
19.55434,-23.47404,5.516007,18.24742,0,0,0,0,0,0
19.58768,-23.47482,5.516007,18.24743,0,0,0,0,0,0
19.62101,-23.47481,5.515795,18.24909,0,0,0,0,0,0
19.65434,-23.4748,5.515379,18.2524,0,0,0,0,0,0
19.68767,-23.4748,5.515174,18.25406,0,0,0,0,0,0
19.72101,-23.4748,5.514832,18.25445,0,0,0,0,0,0
19.75434,-23.47481,5.513278,18.25442,0,0,0,0,0,0
19.78767,-23.47325,5.511009,18.25437,0,0,0,0,0,0
19.82101,-23.47793,5.510308,18.25566,0,0,0,0,0,0
19.85434,-23.47871,5.510104,18.25732,0,0,0,0,0,0
19.88767,-23.4795,5.509901,18.25899,0,0,0,0,0,0
19.92101,-23.48265,5.5097,18.26068,0,0,0,0,0,0
19.95434,-23.48344,5.509109,18.26566,0,0,0,0,0,0
19.98767,-23.48423,5.508483,18.27061,0,0,0,0,0,0
20.02101,-23.49603,5.507051,18.28049,0,0,0,0,0,0
20.05434,-23.51027,5.505924,18.28865,0,0,0,0,0,0
20.08768,-23.52159,5.504296,18.30514,0,0,0,0,0,0
20.12101,-23.5404,5.501732,18.32642,0,0,0,0,0,0
20.15434,-23.56427,5.490342,18.34973,0,0,0,0,0,0
20.18767,-23.58014,5.47533,18.37132,0,0,0,0,0,0
20.22101,-23.56872,5.471314,18.38733,0,0,0,0,0,0
20.25434,-23.54372,5.471205,18.38342,0,0,0,0,0,0
20.28767,-23.51739,5.471271,18.35115,0,0,0,0,0,0
20.32101,-23.48249,5.446255,18.2766,0,0,0,0,0,0
20.35434,-23.4365,5.395143,18.18232,0,0,0,0,0,0
20.38767,-23.38833,5.336854,18.11821,0,0,0,0,0,0
20.42101,-23.37195,5.280087,18.10033,0,0,0,0,0,0
20.45434,-23.40681,5.265213,18.14208,0,0,0,0,0,0
20.48767,-23.47956,5.249775,18.16129,0,0,0,0,0,0
20.52101,-23.5534,5.231862,18.17757,0,0,0,0,0,0
20.55434,-23.60995,5.227779,18.18169,0,0,0,0,0,0
20.58768,-23.66339,5.222449,18.17351,0,0,0,0,0,0
20.62101,-23.69353,5.219768,18.16014,0,0,0,0,0,0
20.65434,-23.70424,5.219617,18.15215,0,0,0,0,0,0
20.68767,-23.71232,5.220441,18.14473,0,0,0,0,0,0
20.72101,-23.70912,5.213902,18.1295,0,0,0,0,0,0
20.75434,-23.67003,5.207057,18.12582,0,0,0,0,0,0
20.78767,-23.61401,5.220133,18.13482,0,0,0,0,0,0
20.82101,-23.58305,5.24388,18.12611,0,0,0,0,0,0
20.85434,-23.55429,5.275237,18.09522,0,0,0,0,0,0
20.88767,-23.53389,5.306053,18.05016,0,0,0,0,0,0
20.92101,-23.53078,5.316094,18.00681,0,0,0,0,0,0
20.95434,-23.53555,5.315336,17.9873,0,0,0,0,0,0
20.98767,-23.55624,5.314015,17.96651,0,0,0,0,0,0
21.02101,-23.61303,5.310621,17.94986,0,0,0,0,0,0
21.05434,-23.68934,5.280336,17.93323,0,0,0,0,0,0
21.08768,-23.74462,5.198201,18.00592,0,0,0,0,0,0
21.12101,-23.76144,5.141576,18.139,0,0,0,0,0,0
21.15434,-23.77276,5.114973,18.17592,0,0,0,0,0,0
21.18767,-23.80335,5.085839,18.1851,0,0,0,0,0,0
21.22101,-23.88035,5.08321,18.17784,0,0,0,0,0,0
21.25434,-23.89134,5.086308,18.15683,0,0,0,0,0,0
21.28767,-23.85837,5.102729,18.13632,0,0,0,0,0,0
21.32101,-23.78715,5.125168,18.10956,0,0,0,0,0,0
21.35434,-23.73029,5.147868,18.07505,0,0,0,0,0,0
21.38767,-23.69617,5.169625,18.04733,0,0,0,0,0,0
21.42101,-23.65964,5.208123,18.01587,0,0,0,0,0,0
21.45434,-23.65176,5.234741,17.99056,0,0,0,0,0,0
21.48767,-23.67085,5.260543,17.94352,0,0,0,0,0,0
21.52101,-23.72827,5.267059,17.90839,0,0,0,0,0,0
21.55434,-23.76728,5.269441,17.88589,0,0,0,0,0,0
21.58768,-23.76687,5.254683,17.90515,0,0,0,0,0,0
21.62101,-23.74238,5.247678,17.92047,0,0,0,0,0,0
21.65434,-23.69342,5.243047,17.93503,0,0,0,0,0,0
21.68768,-23.69869,5.247119,17.92477,0,0,0,0,0,0
21.72101,-23.72939,5.248473,17.89355,0,0,0,0,0,0
21.75434,-23.74339,5.255211,17.87505,0,0,0,0,0,0
21.78767,-23.73905,5.260417,17.86797,0,0,0,0,0,0
21.82101,-23.74746,5.253922,17.87616,0,0,0,0,0,0
21.85434,-23.77615,5.240782,17.88673,0,0,0,0,0,0
21.88767,-23.79476,5.230868,17.8883,0,0,0,0,0,0
21.92101,-23.8282,5.195772,17.93099,0,0,0,0,0,0
21.95434,-23.86063,5.18025,17.9609,0,0,0,0,0,0
21.98767,-23.89509,5.172009,17.98179,0,0,0,0,0,0
22.02101,-23.91493,5.170588,17.99317,0,0,0,0,0,0
22.05434,-23.93343,5.166874,17.99874,0,0,0,0,0,0
22.08768,-23.94715,5.167993,18.00014,0,0,0,0,0,0
22.12101,-23.94197,5.171486,18.00096,0,0,0,0,0,0
22.15434,-23.93003,5.176229,18.00292,0,0,0,0,0,0
22.18768,-23.90118,5.199508,18.00071,0,0,0,0,0,0
22.22101,-23.85957,5.235168,17.98742,0,0,0,0,0,0
22.25434,-23.80864,5.285302,17.9457,0,0,0,0,0,0
22.28767,-23.77297,5.33293,17.88702,0,0,0,0,0,0
22.32101,-23.77384,5.356277,17.84988,0,0,0,0,0,0
22.35434,-23.78215,5.374766,17.81599,0,0,0,0,0,0
22.38767,-23.7859,5.390413,17.78784,0,0,0,0,0,0
22.42101,-23.78051,5.39643,17.77814,0,0,0,0,0,0
22.45434,-23.75529,5.407781,17.77486,0,0,0,0,0,0
22.48767,-23.71322,5.431324,17.77257,0,0,0,0,0,0
22.52101,-23.65512,5.466314,17.75617,0,0,0,0,0,0
22.55434,-23.62525,5.487281,17.74313,0,0,0,0,0,0
22.58768,-23.60351,5.503289,17.72498,0,0,0,0,0,0
22.62101,-23.59927,5.509707,17.7071,0,0,0,0,0,0
22.65434,-23.6164,5.497388,17.69676,0,0,0,0,0,0
22.68768,-23.65202,5.46267,17.69845,0,0,0,0,0,0
22.72101,-23.67379,5.422149,17.71606,0,0,0,0,0,0
22.75434,-23.68825,5.394989,17.72711,0,0,0,0,0,0
22.78767,-23.68044,5.399789,17.71803,0,0,0,0,0,0
22.82101,-23.64178,5.41679,17.71158,0,0,0,0,0,0
22.85434,-23.59563,5.421817,17.72308,0,0,0,0,0,0
22.88767,-23.53083,5.425065,17.73265,0,0,0,0,0,0
22.92101,-23.49629,5.429029,17.71444,0,0,0,0,0,0
22.95434,-23.46364,5.423851,17.69181,0,0,0,0,0,0
22.98767,-23.44419,5.410872,17.70891,0,0,0,0,0,0
23.02101,-23.4302,5.389253,17.7242,0,0,0,0,0,0
23.05434,-23.41772,5.385055,17.72628,0,0,0,0,0,0
23.08768,-23.42081,5.386279,17.73517,0,0,0,0,0,0
23.12101,-23.41695,5.367291,17.75323,0,0,0,0,0,0
23.15434,-23.41018,5.361731,17.75848,0,0,0,0,0,0
23.18768,-23.39974,5.350677,17.76594,0,0,0,0,0,0
23.22101,-23.38908,5.340095,17.77215,0,0,0,0,0,0
23.25434,-23.38265,5.335658,17.77466,0,0,0,0,0,0
23.28767,-23.3725,5.326403,17.77843,0,0,0,0,0,0
23.32101,-23.36546,5.321904,17.77671,0,0,0,0,0,0
23.35434,-23.36284,5.323189,17.77223,0,0,0,0,0,0
23.38767,-23.35863,5.328864,17.76222,0,0,0,0,0,0
23.42101,-23.35378,5.341202,17.74778,0,0,0,0,0,0
23.45434,-23.35056,5.345485,17.74276,0,0,0,0,0,0
23.48767,-23.34827,5.34096,17.74245,0,0,0,0,0,0
23.52101,-23.3432,5.343688,17.74238,0,0,0,0,0,0
23.55434,-23.33794,5.348767,17.73986,0,0,0,0,0,0
23.58768,-23.33517,5.352036,17.73854,0,0,0,0,0,0
