Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
2.642011,-23.12025,5.153231,16.81798,0,0,0,0,0,0
2.975344,-23.11923,5.153306,16.81889,0,0,0,0,0,0
3.308677,-23.11923,5.153306,16.81889,0,0,0,0,0,0
3.642011,-23.11923,5.153306,16.81889,0,0,0,0,0,0
3.975344,-23.12025,5.153231,16.81798,0,0,0,0,0,0
4.308678,-23.11923,5.153306,16.81889,0,0,0,0,0,0
4.63043,-23.11923,5.153306,16.81889,0,0,0,0,0,0
4.909275,-23.11923,5.153306,16.81889,0,0,0,0,0,0
5.161026,-23.12025,5.153231,16.81797,0,0,0,0,0,0
5.385444,-23.12025,5.153231,16.81797,0,0,0,0,0,0
5.57677,-23.11923,5.153306,16.81889,0,0,0,0,0,0
5.733189,-23.11923,5.153306,16.81889,0,0,0,0,0,0
5.880314,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.018164,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.128987,-23.11821,5.15338,16.8198,0,0,0,0,0,0
6.231905,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.323304,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.421934,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.516351,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.604225,-23.12025,5.153231,16.81797,0,0,0,0,0,0
6.694526,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.772666,-23.12025,5.153231,16.81797,0,0,0,0,0,0
6.854125,-23.11923,5.153306,16.81889,0,0,0,0,0,0
6.928808,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.014363,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.086472,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.15654,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.219882,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.285877,-23.11864,5.151841,16.81834,0,0,0,0,0,0
7.355894,-23.11864,5.151841,16.81834,0,0,0,0,0,0
7.418709,-23.12025,5.153231,16.81797,0,0,0,0,0,0
7.48047,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.557947,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.619468,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.683054,-23.11864,5.151841,16.81834,0,0,0,0,0,0
7.758608,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.825815,-23.11923,5.153306,16.81889,0,0,0,0,0,0
7.900839,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.009367,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.009367,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.009367,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.0427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.076034,-23.12025,5.153231,16.81797,0,0,0,0,0,0
8.109366,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.1427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.176033,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.209367,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.2427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.276033,-23.11967,5.151767,16.81743,0,0,0,0,0,0
8.309366,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.3427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.376033,-23.12025,5.153231,16.81797,0,0,0,0,0,0
8.409367,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.4427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.476033,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.509367,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.5427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.576034,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.609366,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.6427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.676033,-23.12025,5.153231,16.81797,0,0,0,0,0,0
8.709367,-23.12025,5.153231,16.81797,0,0,0,0,0,0
8.7427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.776033,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.809366,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.8427,-23.11923,5.153306,16.81889,0,0,0,0,0,0
8.876033,-23.11864,5.151842,16.81834,0,0,0,0,0,0
8.909367,-23.12025,5.153232,16.81797,0,0,0,0,0,0
8.9427,-23.11967,5.151767,16.81743,0,0,0,0,0,0
8.976033,-23.11923,5.153306,16.81889,0,0,0,0,0,0
9.009367,-23.11923,5.153306,16.81889,0,0,0,0,0,0
9.0427,-23.11723,5.152036,16.81967,0,0,0,0,0,0
9.076034,-23.09687,5.138889,16.82788,0,0,0,0,0,0
9.109366,-23.02023,5.086052,16.8639,0,0,0,0,0,0
9.1427,-22.91151,5.035407,16.954,0,0,0,0,0,0
9.176033,-22.79169,4.948007,17.06605,0,0,0,0,0,0
9.209367,-22.74053,4.875313,17.60829,0,0,0,0,0,0
9.2427,-22.71037,4.806682,17.88389,0,0,0,0,0,0
9.276033,-22.69286,4.772768,18.03542,0,0,0,0,0,0
9.309366,-22.68365,4.844572,18.2155,0,0,0,0,0,0
9.3427,-22.69145,4.858239,18.3526,0,0,0,0,0,0
9.376034,-22.71273,4.920393,18.48291,0,0,0,0,0,0
9.409367,-22.77586,5.091967,18.6463,0,0,0,0,0,0
9.4427,-22.85984,5.28976,18.72541,0,0,0,0,0,0
9.476033,-22.92476,5.400671,18.76547,0,0,0,0,0,0
9.509367,-22.98696,5.483793,18.79869,0,0,0,0,0,0
9.5427,-23.0675,5.70289,18.72097,0,0,0,0,0,0
9.576034,-23.12928,5.886757,18.72441,0,0,0,0,0,0
9.609366,-23.27449,6.9655,18.84382,0,0,0,0,0,0
9.6427,-23.37142,7.087916,18.84806,0,0,0,0,0,0
9.676033,-23.44621,7.19284,18.82901,0,0,0,0,0,0
9.709367,-23.39011,7.252252,18.80438,0,0,0,0,0,0
9.7427,-23.33937,7.327575,18.78078,0,0,0,0,0,0
9.776033,-23.29995,7.39254,18.75378,0,0,0,0,0,0
9.809366,-23.27672,7.471226,18.72376,0,0,0,0,0,0
9.8427,-23.27333,7.569582,18.68902,0,0,0,0,0,0
9.876034,-23.27035,7.660665,18.65018,0,0,0,0,0,0
9.909367,-23.27514,7.773725,18.60039,0,0,0,0,0,0
9.9427,-23.28662,7.896963,18.54713,0,0,0,0,0,0
9.976033,-23.25205,7.9786,18.50296,0,0,0,0,0,0
10.00937,-23.17315,8.02195,18.46192,0,0,0,0,0,0
10.0427,-23.10643,7.998181,18.4623,0,0,0,0,0,0
10.07603,-22.98391,7.933668,18.41857,0,0,0,0,0,0
10.10937,-22.88137,7.891651,18.29505,0,0,0,0,0,0
10.1427,-22.80992,7.854001,18.1511,0,0,0,0,0,0
10.17603,-22.7475,7.787071,17.96933,0,0,0,0,0,0
10.20937,-22.72845,7.704072,17.74351,0,0,0,0,0,0
10.2427,-22.77446,7.644607,17.47867,0,0,0,0,0,0
10.27603,-22.85301,7.57075,17.20697,0,0,0,0,0,0
10.30937,-22.95657,7.414369,16.95776,0,0,0,0,0,0
10.3427,-23.01215,7.202752,16.85453,0,0,0,0,0,0
10.37603,-23.06274,7.027296,16.81853,0,0,0,0,0,0
10.40937,-23.12536,6.873103,16.81515,0,0,0,0,0,0
10.4427,-23.23805,6.626476,16.85905,0,0,0,0,0,0
10.47603,-23.2838,6.507822,16.89953,0,0,0,0,0,0
10.50937,-23.31737,6.420861,16.93419,0,0,0,0,0,0
10.5427,-23.36614,6.312146,17.00414,0,0,0,0,0,0
10.57603,-23.40299,6.240129,17.06598,0,0,0,0,0,0
10.60937,-23.44257,6.163155,17.13514,0,0,0,0,0,0
10.6427,-23.47141,6.10073,17.20675,0,0,0,0,0,0
10.67603,-23.49977,6.034486,17.30995,0,0,0,0,0,0
10.70937,-23.53375,5.968073,17.42956,0,0,0,0,0,0
10.7427,-23.57261,5.909052,17.54131,0,0,0,0,0,0
10.77603,-23.60588,5.872512,17.61111,0,0,0,0,0,0
10.80937,-23.60704,5.859927,17.63742,0,0,0,0,0,0
10.8427,-23.60033,5.85587,17.64545,0,0,0,0,0,0
10.87603,-23.61335,5.847685,17.66324,0,0,0,0,0,0
10.90937,-23.65212,5.83042,17.69872,0,0,0,0,0,0
10.9427,-23.69508,5.814383,17.73962,0,0,0,0,0,0
10.97603,-23.74577,5.798921,17.79397,0,0,0,0,0,0
11.00937,-23.79059,5.790127,17.84059,0,0,0,0,0,0
11.0427,-23.83791,5.789289,17.8671,0,0,0,0,0,0
11.07603,-23.87017,5.791773,17.88018,0,0,0,0,0,0
11.10937,-23.89998,5.795913,17.8944,0,0,0,0,0,0
11.1427,-23.91812,5.799798,17.90689,0,0,0,0,0,0
11.17603,-23.93087,5.802971,17.91736,0,0,0,0,0,0
11.20937,-23.93837,5.80594,17.92673,0,0,0,0,0,0
11.2427,-23.93725,5.809261,17.93508,0,0,0,0,0,0
11.27603,-23.92333,5.81279,17.93949,0,0,0,0,0,0
11.30937,-23.89499,5.815438,17.94709,0,0,0,0,0,0
11.3427,-23.86217,5.817795,17.9708,0,0,0,0,0,0
11.37603,-23.84268,5.819036,17.99451,0,0,0,0,0,0
