Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ
87.33494,-23.82098,5.002728,18.02177,0,0,0
87.34424,-23.81961,5.002728,18.02204,0,0,0
87.35387,-23.81961,5.002728,18.02204,0,0,0
87.36279,-23.81882,5.003101,18.02183,0,0,0
87.3726,-23.81882,5.003101,18.02183,0,0,0
87.38118,-23.81785,5.002503,18.02359,0,0,0
87.3905,-23.81785,5.002503,18.02359,0,0,0
87.399,-23.81785,5.002503,18.02359,0,0,0
87.40731,-23.81537,5.0031,18.02248,0,0,0
87.41699,-23.81537,5.0031,18.02248,0,0,0
87.42541,-23.81469,5.003101,18.02261,0,0,0
87.43493,-23.81469,5.003101,18.02261,0,0,0
87.44363,-23.81359,5.003699,18.02123,0,0,0
87.45325,-23.81359,5.003699,18.02123,0,0,0
87.4626,-23.8129,5.003699,18.02136,0,0,0
87.47433,-23.8129,5.003699,18.02136,0,0,0
87.48277,-23.81222,5.003699,18.02149,0,0,0
87.49232,-23.81222,5.003699,18.02149,0,0,0
87.50092,-23.81153,5.003699,18.02162,0,0,0
87.51035,-23.81153,5.003699,18.02162,0,0,0
87.51913,-23.81153,5.003699,18.02162,0,0,0
87.52755,-23.8093,5.003935,18.02226,0,0,0
87.53842,-23.8093,5.003935,18.02226,0,0,0
87.54819,-23.80776,5.004172,18.02277,0,0,0
87.5583,-23.80776,5.004172,18.02277,0,0,0
87.56689,-23.80817,5.003574,18.02427,0,0,0
87.57635,-23.80817,5.003574,18.02427,0,0,0
87.58483,-23.80481,5.003459,18.02692,0,0,0
87.59422,-23.80481,5.003459,18.02692,0,0,0
87.60306,-23.80521,5.002865,18.02843,0,0,0
87.61318,-23.80521,5.002865,18.02843,0,0,0
87.62193,-23.80462,5.002492,18.0289,0,0,0
87.63164,-23.80462,5.002492,18.0289,0,0,0
87.64014,-23.80389,5.001553,18.03242,0,0,0
87.64987,-23.80389,5.001553,18.03242,0,0,0
87.65822,-23.80389,5.001553,18.03242,0,0,0
87.66697,-23.80203,5.000288,18.03797,0,0,0
87.67657,-23.80203,5.000288,18.03797,0,0,0
87.68526,-23.80131,4.999376,18.0415,0,0,0
87.69459,-23.80131,4.999376,18.0415,0,0,0
87.70365,-23.80058,4.998474,18.04504,0,0,0
87.71334,-23.80058,4.998474,18.04504,0,0,0
87.7221,-23.8014,4.997328,18.04807,0,0,0
87.73153,-23.8014,4.997328,18.04807,0,0,0
87.74012,-23.79986,4.997582,18.04858,0,0,0
87.74961,-23.79986,4.997582,18.04858,0,0,0
87.75799,-23.79986,4.997582,18.04858,0,0,0
87.76667,-23.80026,4.997012,18.05009,0,0,0
87.77624,-23.80026,4.997012,18.05009,0,0,0
87.78463,-23.7992,4.997401,18.05234,0,0,0
87.79415,-23.7992,4.997401,18.05234,0,0,0
87.80342,-23.79782,4.997987,18.0534,0,0,0
87.81315,-23.79782,4.997987,18.0534,0,0,0
87.82216,-23.79799,4.998314,18.05396,0,0,0
87.83221,-23.79799,4.998314,18.05396,0,0,0
87.84083,-23.79902,4.998995,18.0516,0,0,0
87.85074,-23.79902,4.998995,18.0516,0,0,0
87.85952,-23.79902,4.998995,18.0516,0,0,0
87.86799,-23.79673,5.00109,18.04929,0,0,0
87.87805,-23.79673,5.00109,18.04929,0,0,0
87.88705,-23.79485,5.002621,18.04851,0,0,0
87.89671,-23.79485,5.002621,18.04851,0,0,0
87.90617,-23.7937,5.005041,18.04418,0,0,0
87.91599,-23.7937,5.005041,18.04418,0,0,0
87.92458,-23.7937,5.005041,18.04418,0,0,0
87.93403,-23.7937,5.005041,18.04418,0,0,0
87.94277,-23.79248,5.006781,18.03964,0,0,0
87.95238,-23.79248,5.006781,18.03964,0,0,0
87.96091,-23.79362,5.007105,18.03762,0,0,0
87.97072,-23.79362,5.007105,18.03762,0,0,0
87.97935,-23.79362,5.007105,18.03762,0,0,0
87.98805,-23.79128,5.008539,18.03511,0,0,0
87.9978,-23.79128,5.008539,18.03511,0,0,0
88.00652,-23.79144,5.008858,18.03567,0,0,0
88.0163,-23.79144,5.008858,18.03567,0,0,0
88.02498,-23.79064,5.010039,18.03265,0,0,0
88.03469,-23.79064,5.010039,18.03265,0,0,0
88.04333,-23.79093,5.010633,18.03102,0,0,0
88.05302,-23.79093,5.010633,18.03102,0,0,0
88.06197,-23.79013,5.011825,18.02801,0,0,0
88.07201,-23.79013,5.011825,18.02801,0,0,0
88.08089,-23.79042,5.012422,18.02638,0,0,0
88.0909,-23.79042,5.012422,18.02638,0,0,0
88.10007,-23.78922,5.014232,18.02187,0,0,0
88.10996,-23.78922,5.014232,18.02187,0,0,0
88.11871,-23.78922,5.014232,18.02187,0,0,0
88.12746,-23.79145,5.01684,18.01493,0,0,0
88.13727,-23.79145,5.01684,18.01493,0,0,0
88.14636,-23.79179,5.018434,18.00992,0,0,0
88.1562,-23.79179,5.018434,18.00992,0,0,0
88.16515,-23.79174,5.020358,18.00701,0,0,0
88.17479,-23.79174,5.020358,18.00701,0,0,0
88.18392,-23.79446,5.021158,18.0047,0,0,0
88.19365,-23.79446,5.021158,18.0047,0,0,0
88.20232,-23.79588,5.022161,18.00108,0,0,0
88.21197,-23.79588,5.022161,18.00108,0,0,0
88.22097,-23.79871,5.022606,17.99912,0,0,0
88.2306,-23.79871,5.022606,17.99912,0,0,0
88.2394,-23.79871,5.022606,17.99912,0,0,0
88.24831,-23.79905,5.024261,17.99413,0,0,0
88.25832,-23.79905,5.024261,17.99413,0,0,0
88.26855,-23.80188,5.024722,17.99217,0,0,0
88.27919,-23.80188,5.024722,17.99217,0,0,0
88.28837,-23.80301,5.025125,17.99017,0,0,0
88.298,-23.80301,5.025125,17.99017,0,0,0
88.30695,-23.80261,5.025764,17.98868,0,0,0
88.31673,-23.80261,5.025764,17.98868,0,0,0
88.32523,-23.80527,5.025939,17.98618,0,0,0
88.33501,-23.80527,5.025939,17.98618,0,0,0
88.34367,-23.80748,5.02571,17.98555,0,0,0
88.35315,-23.80748,5.02571,17.98555,0,0,0
88.36208,-23.81093,5.024614,17.98602,0,0,0
88.37208,-23.81093,5.024614,17.98602,0,0,0
88.38103,-23.81246,5.024391,17.98552,0,0,0
88.39101,-23.81246,5.024391,17.98552,0,0,0
88.39977,-23.81246,5.024391,17.98552,0,0,0
88.40853,-23.81429,5.0239,17.98616,0,0,0
88.41805,-23.81429,5.0239,17.98616,0,0,0
88.42678,-23.81582,5.023681,17.98565,0,0,0
88.43627,-23.81582,5.023681,17.98565,0,0,0
88.44518,-23.81725,5.023834,17.98481,0,0,0
88.45493,-23.81725,5.023834,17.98481,0,0,0
88.46386,-23.818,5.02399,17.98409,0,0,0
88.47425,-23.818,5.02399,17.98409,0,0,0
88.48363,-23.8179,5.024362,17.98375,0,0,0
88.4933,-23.8179,5.024362,17.98375,0,0,0
88.50229,-23.8183,5.023723,17.98524,0,0,0
88.51225,-23.8183,5.023723,17.98524,0,0,0
88.52099,-23.82013,5.023244,17.98588,0,0,0
88.53072,-23.82013,5.023244,17.98588,0,0,0
88.53945,-23.82013,5.023244,17.98588,0,0,0
88.54826,-23.81976,5.022981,17.98716,0,0,0
88.55791,-23.81976,5.022981,17.98716,0,0,0
88.56687,-23.81908,5.022981,17.98729,0,0,0
88.57674,-23.81908,5.022981,17.98729,0,0,0
88.58547,-23.81881,5.022349,17.98891,0,0,0
88.5949,-23.81881,5.022349,17.98891,0,0,0
88.60419,-23.81967,5.022137,17.98854,0,0,0
88.61414,-23.81967,5.022137,17.98854,0,0,0
88.62285,-23.82053,5.021927,17.98817,0,0,0
88.63268,-23.82053,5.021927,17.98817,0,0,0
88.64121,-23.82112,5.021088,17.98943,0,0,0
88.65141,-23.82112,5.021088,17.98943,0,0,0
88.66033,-23.82215,5.021884,17.98709,0,0,0
88.67006,-23.82215,5.021884,17.98709,0,0,0
88.67901,-23.82215,5.021884,17.98709,0,0,0
88.68842,-23.8261,5.021277,17.98573,0,0,0
88.69818,-23.8261,5.021277,17.98573,0,0,0
88.70683,-23.8281,5.021518,17.98338,0,0,0
88.71692,-23.8281,5.021518,17.98338,0,0,0
88.72549,-23.82984,5.021132,17.98266,0,0,0
88.73571,-23.82984,5.021132,17.98266,0,0,0
88.74458,-23.83098,5.021579,17.98068,0,0,0
88.75446,-23.83098,5.021579,17.98068,0,0,0
88.76347,-23.83298,5.021843,17.97834,0,0,0
88.77361,-23.83298,5.021843,17.97834,0,0,0
88.78267,-23.83607,5.021479,17.97735,0,0,0
88.79264,-23.83607,5.021479,17.97735,0,0,0
88.80128,-23.83681,5.02258,17.97388,0,0,0
88.81091,-23.83681,5.02258,17.97388,0,0,0
88.82006,-23.83681,5.02258,17.97388,0,0,0
88.8297,-23.83681,5.02258,17.97388,0,0,0
88.83836,-23.83681,5.02258,17.97388,0,0,0
88.84741,-23.83989,5.022228,17.9729,0,0,0
88.85705,-23.83989,5.022228,17.9729,0,0,0
88.86573,-23.83949,5.022871,17.97141,0,0,0
88.87597,-23.83949,5.022871,17.97141,0,0,0
88.88478,-23.84103,5.022699,17.97092,0,0,0
88.89445,-23.84103,5.022699,17.97092,0,0,0
88.90334,-23.84103,5.022698,17.97092,0,0,0
88.91419,-23.84103,5.022698,17.97092,0,0,0
88.92339,-23.84063,5.023344,17.96944,0,0,0
88.93335,-23.84063,5.023344,17.96944,0,0,0
88.94238,-23.84284,5.023173,17.96881,0,0,0
88.95483,-23.84284,5.023173,17.96881,0,0,0
88.9636,-23.84438,5.023004,17.96831,0,0,0
88.97366,-23.84438,5.023004,17.96831,0,0,0
88.98272,-23.84357,5.024301,17.96535,0,0,0
88.99239,-23.84357,5.024301,17.96535,0,0,0
89.00175,-23.84551,5.023485,17.96634,0,0,0
89.01197,-23.84551,5.023485,17.96634,0,0,0
89.02104,-23.84511,5.024135,17.96486,0,0,0
89.03102,-23.84511,5.024135,17.96486,0,0,0
89.04002,-23.84665,5.02397,17.96436,0,0,0
89.05004,-23.84665,5.02397,17.96436,0,0,0
