Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
29.01883,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.02765,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.0396,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.04831,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.05743,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.06655,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.07542,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.08389,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.09262,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.10097,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.11277,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.12108,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.13148,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.13993,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.14931,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.15876,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.16776,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.17683,-23.97748,5.10491,17.83602,0,0,0,0,0,0
29.18577,-23.97624,5.104456,17.83798,0,0,0,0,0,0
29.19488,-23.97624,5.104456,17.83798,0,0,0,0,0,0
29.2026,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.21173,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.22135,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.23123,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.23932,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.248,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.2588,-23.97624,5.104457,17.83798,0,0,0,0,0,0
29.26726,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.27629,-23.97586,5.104774,17.83639,0,0,0,0,0,0
29.28513,-23.97424,5.104642,17.83675,0,0,0,0,0,0
29.29447,-23.97424,5.104642,17.83675,0,0,0,0,0,0
29.30235,-23.97385,5.104963,17.83516,0,0,0,0,0,0
29.31148,-23.97385,5.104963,17.83516,0,0,0,0,0,0
29.31999,-23.97385,5.104963,17.83516,0,0,0,0,0,0
29.32854,-23.97061,5.104703,17.83589,0,0,0,0,0,0
29.33811,-23.97061,5.104703,17.83589,0,0,0,0,0,0
29.34688,-23.96899,5.104576,17.83625,0,0,0,0,0,0
29.35686,-23.96899,5.104576,17.83625,0,0,0,0,0,0
29.36551,-23.96698,5.104774,17.83503,0,0,0,0,0,0
29.3748,-23.96698,5.104774,17.83503,0,0,0,0,0,0
29.38419,-23.96683,5.104376,17.83441,0,0,0,0,0,0
29.39431,-23.96683,5.104376,17.83441,0,0,0,0,0,0
29.40254,-23.96683,5.104376,17.83441,0,0,0,0,0,0
29.41223,-23.96683,5.104376,17.83441,0,0,0,0,0,0
29.42076,-23.96683,5.104376,17.83441,0,0,0,0,0,0
29.4311,-23.96683,5.104376,17.83441,0,0,0,0,0,0
29.43922,-23.96683,5.104376,17.83441,0,0,0,0,0,0
29.44737,-23.96482,5.104579,17.83318,0,0,0,0,0,0
29.45626,-23.96482,5.104579,17.83318,0,0,0,0,0,0
29.46434,-23.96482,5.104579,17.83318,0,0,0,0,0,0
29.47451,-23.96482,5.104579,17.83318,0,0,0,0,0,0
29.48349,-23.96358,5.104132,17.83514,0,0,0,0,0,0
29.4919,-23.96358,5.104132,17.83514,0,0,0,0,0,0
29.5013,-23.96196,5.104012,17.83551,0,0,0,0,0,0
29.51105,-23.96196,5.104012,17.83551,0,0,0,0,0,0
29.51901,-23.96196,5.104012,17.83551,0,0,0,0,0,0
29.52873,-23.9591,5.103457,17.83784,0,0,0,0,0,0
29.53795,-23.9591,5.103457,17.83784,0,0,0,0,0,0
29.54635,-23.95748,5.103344,17.83821,0,0,0,0,0,0
29.55534,-23.95748,5.103344,17.83821,0,0,0,0,0,0
29.56419,-23.95786,5.103024,17.8398,0,0,0,0,0,0
29.57298,-23.95786,5.103024,17.8398,0,0,0,0,0,0
29.58113,-23.95462,5.102804,17.84054,0,0,0,0,0,0
29.59039,-23.95462,5.102804,17.84054,0,0,0,0,0,0
29.59915,-23.95462,5.102804,17.84054,0,0,0,0,0,0
29.60694,-23.95161,5.101872,17.84225,0,0,0,0,0,0
29.61602,-23.95161,5.101872,17.84225,0,0,0,0,0,0
29.62655,-23.95022,5.101054,17.84359,0,0,0,0,0,0
29.63561,-23.95022,5.101054,17.84359,0,0,0,0,0,0
29.64288,-23.95022,5.101055,17.84359,0,0,0,0,0,0
29.65206,-23.95022,5.101055,17.84359,0,0,0,0,0,0
29.65958,-23.95022,5.101055,17.84359,0,0,0,0,0,0
29.66749,-23.94721,5.100139,17.8453,0,0,0,0,0,0
29.67733,-23.94721,5.100139,17.8453,0,0,0,0,0,0
29.6859,-23.94234,5.099857,17.84643,0,0,0,0,0,0
29.69499,-23.94234,5.099857,17.84643,0,0,0,0,0,0
29.70245,-23.94072,5.099767,17.8468,0,0,0,0,0,0
29.71133,-23.94072,5.099767,17.8468,0,0,0,0,0,0
29.71879,-23.94072,5.099767,17.8468,0,0,0,0,0,0
29.72616,-23.93585,5.09951,17.84793,0,0,0,0,0,0
29.7347,-23.93585,5.09951,17.84793,0,0,0,0,0,0
29.74257,-23.9306,5.099589,17.84747,0,0,0,0,0,0
29.75426,-23.9306,5.099589,17.84747,0,0,0,0,0,0
29.76196,-23.92774,5.099123,17.84982,0,0,0,0,0,0
29.77149,-23.92774,5.099123,17.84982,0,0,0,0,0,0
29.77949,-23.92774,5.099123,17.84982,0,0,0,0,0,0
29.78694,-23.92048,5.099487,17.84816,0,0,0,0,0,0
29.79598,-23.92048,5.099487,17.84816,0,0,0,0,0,0
29.80379,-23.9116,5.099838,17.8469,0,0,0,0,0,0
29.81263,-23.9116,5.099838,17.8469,0,0,0,0,0,0
29.82006,-23.9031,5.09992,17.84723,0,0,0,0,0,0
29.82924,-23.9031,5.09992,17.84723,0,0,0,0,0,0
29.83696,-23.9031,5.09992,17.84723,0,0,0,0,0,0
29.84773,-23.88572,5.10058,17.84636,0,0,0,0,0,0
29.85755,-23.88572,5.10058,17.84636,0,0,0,0,0,0
29.86592,-23.87807,5.101515,17.84316,0,0,0,0,0,0
29.8748,-23.87807,5.101515,17.84316,0,0,0,0,0,0
29.88373,-23.86556,5.102492,17.84118,0,0,0,0,0,0
29.89302,-23.86556,5.102492,17.84118,0,0,0,0,0,0
29.9007,-23.85752,5.103907,17.83643,0,0,0,0,0,0
29.90943,-23.85752,5.103907,17.83643,0,0,0,0,0,0
29.91755,-23.85752,5.103907,17.83643,0,0,0,0,0,0
29.92892,-23.84625,5.105427,17.8325,0,0,0,0,0,0
29.9378,-23.84625,5.105427,17.8325,0,0,0,0,0,0
29.94615,-23.83861,5.106623,17.82937,0,0,0,0,0,0
29.95527,-23.83861,5.106623,17.82937,0,0,0,0,0,0
29.96383,-23.83459,5.107426,17.82702,0,0,0,0,0,0
29.97283,-23.83459,5.107426,17.82702,0,0,0,0,0,0
29.98112,-23.83258,5.107834,17.82584,0,0,0,0,0,0
29.99006,-23.83258,5.107834,17.82584,0,0,0,0,0,0
29.99803,-23.83258,5.107834,17.82584,0,0,0,0,0,0
30.00557,-23.83019,5.108624,17.82309,0,0,0,0,0,0
30.01503,-23.83019,5.108624,17.82309,0,0,0,0,0,0
30.02341,-23.83142,5.108967,17.82111,0,0,0,0,0,0
30.0333,-23.83142,5.108967,17.82111,0,0,0,0,0,0
30.04346,-23.83466,5.108901,17.8203,0,0,0,0,0,0
30.05234,-23.83466,5.108901,17.8203,0,0,0,0,0,0
30.06059,-23.8379,5.108841,17.81949,0,0,0,0,0,0
30.06934,-23.8379,5.108841,17.81949,0,0,0,0,0,0
30.0773,-23.8379,5.108841,17.81949,0,0,0,0,0,0
30.08546,-23.84399,5.109132,17.8163,0,0,0,0,0,0
30.09533,-23.84399,5.109132,17.8163,0,0,0,0,0,0
30.1029,-23.84881,5.10847,17.81492,0,0,0,0,0,0
30.11425,-23.84881,5.10847,17.81492,0,0,0,0,0,0
30.12177,-23.85352,5.108063,17.8131,0,0,0,0,0,0
30.13124,-23.85352,5.108063,17.8131,0,0,0,0,0,0
30.13915,-23.85352,5.108063,17.8131,0,0,0,0,0,0
30.14923,-23.86093,5.107686,17.80828,0,0,0,0,0,0
30.15817,-23.86093,5.107686,17.80828,0,0,0,0,0,0
30.16608,-23.86386,5.106946,17.80624,0,0,0,0,0,0
30.17484,-23.86386,5.106946,17.80624,0,0,0,0,0,0
30.18296,-23.86696,5.10659,17.80483,0,0,0,0,0,0
30.19126,-23.86696,5.10659,17.80483,0,0,0,0,0,0
30.19901,-23.86696,5.10659,17.80483,0,0,0,0,0,0
30.20895,-23.86791,5.105085,17.80429,0,0,0,0,0,0
30.21809,-23.86791,5.105085,17.80429,0,0,0,0,0,0
30.2253,-23.87023,5.102808,17.80676,0,0,0,0,0,0
30.23382,-23.87023,5.102808,17.80676,0,0,0,0,0,0
30.24222,-23.87062,5.099767,17.80837,0,0,0,0,0,0
30.25113,-23.87062,5.099767,17.80837,0,0,0,0,0,0
30.25894,-23.87062,5.099767,17.80837,0,0,0,0,0,0
30.26917,-23.87356,5.096375,17.81337,0,0,0,0,0,0
30.27894,-23.87356,5.096375,17.81337,0,0,0,0,0,0
30.29239,-23.87033,5.093716,17.8212,0,0,0,0,0,0
30.3015,-23.86855,5.093322,17.82096,0,0,0,0,0,0
30.31057,-23.86855,5.093322,17.82096,0,0,0,0,0,0
30.31869,-23.86855,5.093322,17.82096,0,0,0,0,0,0
30.3288,-23.85991,5.090695,17.82778,0,0,0,0,0,0
30.3375,-23.85991,5.090695,17.82778,0,0,0,0,0,0
30.34543,-23.85559,5.089197,17.82853,0,0,0,0,0,0
30.35424,-23.85559,5.089197,17.82853,0,0,0,0,0,0
30.36264,-23.85089,5.086975,17.83037,0,0,0,0,0,0
30.37427,-23.85089,5.086975,17.83037,0,0,0,0,0,0
30.38293,-23.84565,5.084746,17.83001,0,0,0,0,0,0
30.39194,-23.84565,5.084746,17.83001,0,0,0,0,0,0
30.40045,-23.84072,5.083306,17.8309,0,0,0,0,0,0
30.40923,-23.84072,5.083306,17.8309,0,0,0,0,0,0
30.41753,-23.84072,5.083306,17.8309,0,0,0,0,0,0
30.42509,-23.83393,5.082663,17.83126,0,0,0,0,0,0
30.4341,-23.83393,5.082663,17.83126,0,0,0,0,0,0
30.44151,-23.83109,5.082377,17.83366,0,0,0,0,0,0
30.45047,-23.83109,5.082377,17.83366,0,0,0,0,0,0
30.45799,-23.83109,5.082377,17.83366,0,0,0,0,0,0
30.46612,-23.82463,5.082551,17.83529,0,0,0,0,0,0
30.47464,-23.82463,5.082551,17.83529,0,0,0,0,0,0
30.48317,-23.82139,5.082651,17.83611,0,0,0,0,0,0
30.49152,-23.82139,5.082651,17.83611,0,0,0,0,0,0
30.499,-23.82139,5.082651,17.83611,0,0,0,0,0,0
30.50681,-23.81894,5.082045,17.8401,0,0,0,0,0,0
30.51792,-23.81894,5.082045,17.8401,0,0,0,0,0,0
30.52603,-23.81791,5.080388,17.84286,0,0,0,0,0,0
