Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
9.344348,-23.67966,5.517467,17.93851,0,0,0,0,0,0
9.377681,-23.67808,5.517269,17.93856,0,0,0,0,0,0
9.411015,-23.67808,5.517268,17.93856,0,0,0,0,0,0
9.444347,-23.67966,5.517467,17.93851,0,0,0,0,0,0
9.477681,-23.67808,5.517268,17.93856,0,0,0,0,0,0
9.511014,-23.67808,5.517269,17.93856,0,0,0,0,0,0
9.544348,-23.67808,5.517521,17.93811,0,0,0,0,0,0
9.577681,-23.67808,5.517521,17.93811,0,0,0,0,0,0
9.611014,-23.67808,5.51752,17.93811,0,0,0,0,0,0
9.644348,-23.67807,5.517774,17.93766,0,0,0,0,0,0
9.677681,-23.67807,5.517774,17.93766,0,0,0,0,0,0
9.711015,-23.67815,5.517666,17.93883,0,0,0,0,0,0
9.744348,-23.67815,5.517666,17.93883,0,0,0,0,0,0
9.777681,-23.67815,5.517666,17.93883,0,0,0,0,0,0
9.811014,-23.67815,5.517666,17.93883,0,0,0,0,0,0
9.844348,-23.67824,5.517307,17.94046,0,0,0,0,0,0
9.877681,-23.67815,5.517666,17.93883,0,0,0,0,0,0
9.911015,-23.67982,5.517506,17.94042,0,0,0,0,0,0
9.944347,-23.67824,5.517308,17.94046,0,0,0,0,0,0
9.977681,-23.67823,5.51756,17.94001,0,0,0,0,0,0
10.01101,-23.6799,5.517402,17.9416,0,0,0,0,0,0
10.04435,-23.67823,5.51756,17.94001,0,0,0,0,0,0
10.07768,-23.67823,5.51756,17.94001,0,0,0,0,0,0
10.11101,-23.67823,5.51756,17.94001,0,0,0,0,0,0
10.14435,-23.67823,5.51756,17.94001,0,0,0,0,0,0
10.17768,-23.67924,5.517402,17.94167,0,0,0,0,0,0
10.21101,-23.67767,5.517203,17.94171,0,0,0,0,0,0
10.24435,-23.67924,5.517003,17.9412,0,0,0,0,0,0
10.27768,-23.67932,5.51625,17.94237,0,0,0,0,0,0
10.31101,-23.67773,5.515254,17.94147,0,0,0,0,0,0
10.34435,-23.6778,5.513703,17.94171,0,0,0,0,0,0
10.37768,-23.67786,5.512152,17.94193,0,0,0,0,0,0
10.41101,-23.67792,5.509807,17.94123,0,0,0,0,0,0
10.44435,-23.67796,5.507061,17.94004,0,0,0,0,0,0
10.47768,-23.67832,5.500244,17.94298,0,0,0,0,0,0
10.51101,-23.67863,5.491683,17.94307,0,0,0,0,0,0
10.54435,-23.67584,5.47827,17.94118,0,0,0,0,0,0
10.57768,-23.67465,5.46639,17.94148,0,0,0,0,0,0
10.61101,-23.67358,5.453381,17.94444,0,0,0,0,0,0
10.64435,-23.67079,5.444095,17.94802,0,0,0,0,0,0
10.67768,-23.67121,5.436805,17.95347,0,0,0,0,0,0
10.71101,-23.66676,5.428012,17.95703,0,0,0,0,0,0
10.74435,-23.66387,5.419517,17.9591,0,0,0,0,0,0
10.77768,-23.65855,5.410629,17.95834,0,0,0,0,0,0
10.81101,-23.65717,5.401755,17.95902,0,0,0,0,0,0
10.84435,-23.65256,5.38992,17.95918,0,0,0,0,0,0
10.87768,-23.64955,5.378921,17.95929,0,0,0,0,0,0
10.91101,-23.64661,5.366184,17.96196,0,0,0,0,0,0
10.94435,-23.64526,5.353209,17.96396,0,0,0,0,0,0
10.97768,-23.64223,5.342057,17.96637,0,0,0,0,0,0
11.01101,-23.6408,5.332629,17.96867,0,0,0,0,0,0
11.04435,-23.63927,5.324682,17.96873,0,0,0,0,0,0
11.07768,-23.63605,5.316925,17.96711,0,0,0,0,0,0
11.11101,-23.6362,5.309215,17.96924,0,0,0,0,0,0
11.14435,-23.63395,5.299643,17.96699,0,0,0,0,0,0
11.17768,-23.63242,5.290568,17.96736,0,0,0,0,0,0
11.21101,-23.63088,5.282321,17.96879,0,0,0,0,0,0
11.24435,-23.62933,5.27326,17.96905,0,0,0,0,0,0
11.27768,-23.62945,5.265987,17.9715,0,0,0,0,0,0
11.31101,-23.62954,5.259865,17.97343,0,0,0,0,0,0
11.34435,-23.62626,5.254935,17.97321,0,0,0,0,0,0
11.37768,-23.62465,5.25097,17.97412,0,0,0,0,0,0
11.41101,-23.62302,5.248812,17.97466,0,0,0,0,0,0
11.44435,-23.62139,5.245993,17.97507,0,0,0,0,0,0
11.47768,-23.62142,5.243965,17.97559,0,0,0,0,0,0
11.51101,-23.6197,5.240954,17.97155,0,0,0,0,0,0
11.54435,-23.61971,5.23744,17.97077,0,0,0,0,0,0
