Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
16.92282,-23.66553,5.744579,17.80782,0,0,0,0,0,0
16.95615,-23.6661,5.74435,17.8094,0,0,0,0,0,0
16.98948,-23.66433,5.744577,17.80796,0,0,0,0,0,0
17.02282,-23.6661,5.74435,17.8094,0,0,0,0,0,0
17.05615,-23.66454,5.744386,17.8096,0,0,0,0,0,0
17.08949,-23.66454,5.744386,17.8096,0,0,0,0,0,0
17.12282,-23.66454,5.744386,17.8096,0,0,0,0,0,0
17.15615,-23.66454,5.744386,17.8096,0,0,0,0,0,0
17.18948,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.22282,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.25615,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.28948,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.32282,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.35615,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.38948,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.42282,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.45615,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.48948,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.52282,-23.66448,5.743945,17.80919,0,0,0,0,0,0
17.55615,-23.66427,5.744137,17.80755,0,0,0,0,0,0
17.58949,-23.66427,5.744136,17.80755,0,0,0,0,0,0
17.62282,-23.66407,5.744333,17.8059,0,0,0,0,0,0
17.65615,-23.66407,5.744333,17.8059,0,0,0,0,0,0
17.68948,-23.66407,5.744333,17.8059,0,0,0,0,0,0
17.72282,-23.66407,5.744333,17.8059,0,0,0,0,0,0
17.75615,-23.66407,5.744334,17.8059,0,0,0,0,0,0
17.78948,-23.66381,5.744092,17.80385,0,0,0,0,0,0
17.82282,-23.66375,5.743652,17.80344,0,0,0,0,0,0
17.85615,-23.66375,5.743651,17.80344,0,0,0,0,0,0
17.88948,-23.66375,5.743651,17.80344,0,0,0,0,0,0
17.92282,-23.66375,5.743651,17.80344,0,0,0,0,0,0
17.95615,-23.6637,5.743213,17.80303,0,0,0,0,0,0
17.98948,-23.66364,5.742774,17.80262,0,0,0,0,0,0
18.02282,-23.66455,5.7423,17.80207,0,0,0,0,0,0
18.05615,-23.66546,5.741827,17.80153,0,0,0,0,0,0
18.08949,-23.66722,5.741592,17.80298,0,0,0,0,0,0
18.12282,-23.66878,5.741562,17.80278,0,0,0,0,0,0
18.15615,-23.66878,5.741561,17.80278,0,0,0,0,0,0
18.18948,-23.67013,5.741735,17.80093,0,0,0,0,0,0
18.22282,-23.67013,5.741735,17.80093,0,0,0,0,0,0
18.25615,-23.67169,5.741708,17.80073,0,0,0,0,0,0
18.28948,-23.67164,5.74127,17.80032,0,0,0,0,0,0
18.32282,-23.67153,5.740393,17.7995,0,0,0,0,0,0
18.35615,-23.67141,5.737561,17.79867,0,0,0,0,0,0
18.38948,-23.66822,5.732378,17.79403,0,0,0,0,0,0
18.42282,-23.66137,5.725183,17.7903,0,0,0,0,0,0
18.45615,-23.6559,5.719253,17.78503,0,0,0,0,0,0
18.48948,-23.64717,5.711406,17.77424,0,0,0,0,0,0
18.52282,-23.64222,5.705991,17.76344,0,0,0,0,0,0
18.55615,-23.63374,5.701774,17.74814,0,0,0,0,0,0
18.58949,-23.62842,5.69931,17.7388,0,0,0,0,0,0
18.62282,-23.61651,5.696562,17.72684,0,0,0,0,0,0
18.65615,-23.60691,5.695698,17.72051,0,0,0,0,0,0
18.68948,-23.5955,5.693074,17.71223,0,0,0,0,0,0
18.72282,-23.58749,5.690807,17.70603,0,0,0,0,0,0
18.75615,-23.57801,5.687623,17.70077,0,0,0,0,0,0
18.78948,-23.56933,5.683231,17.69404,0,0,0,0,0,0
18.82282,-23.56198,5.67879,17.68504,0,0,0,0,0,0
18.85615,-23.55463,5.674468,17.67601,0,0,0,0,0,0
18.88948,-23.54868,5.671477,17.66413,0,0,0,0,0,0
18.92282,-23.54408,5.668964,17.65471,0,0,0,0,0,0
18.95615,-23.54252,5.666795,17.64989,0,0,0,0,0,0
18.98948,-23.53572,5.663926,17.63984,0,0,0,0,0,0
19.02282,-23.52628,5.662244,17.62886,0,0,0,0,0,0
19.05615,-23.52021,5.658732,17.6171,0,0,0,0,0,0
19.08949,-23.51154,5.656995,17.60348,0,0,0,0,0,0
19.12282,-23.5053,5.65458,17.58879,0,0,0,0,0,0
19.15615,-23.49876,5.652195,17.57616,0,0,0,0,0,0
19.18948,-23.48854,5.651607,17.56081,0,0,0,0,0,0
19.22282,-23.47968,5.651813,17.54326,0,0,0,0,0,0
19.25615,-23.47208,5.651182,17.53378,0,0,0,0,0,0
19.28948,-23.45447,5.654184,17.52087,0,0,0,0,0,0
19.32282,-23.44016,5.657889,17.50993,0,0,0,0,0,0
19.35615,-23.42198,5.664608,17.49452,0,0,0,0,0,0
19.38948,-23.40834,5.672461,17.47599,0,0,0,0,0,0
19.42282,-23.39598,5.679725,17.45887,0,0,0,0,0,0
19.45615,-23.38725,5.6855,17.44496,0,0,0,0,0,0
19.48948,-23.38086,5.691057,17.43614,0,0,0,0,0,0
19.52282,-23.37654,5.695736,17.42963,0,0,0,0,0,0
19.55615,-23.37645,5.697891,17.42554,0,0,0,0,0,0
19.58949,-23.37639,5.698259,17.42589,0,0,0,0,0,0
19.62282,-23.37969,5.694572,17.43153,0,0,0,0,0,0
19.65615,-23.38417,5.687216,17.44488,0,0,0,0,0,0
19.68949,-23.38853,5.67487,17.46844,0,0,0,0,0,0
19.72282,-23.39205,5.664678,17.48938,0,0,0,0,0,0
19.75615,-23.39712,5.65513,17.50872,0,0,0,0,0,0
19.78948,-23.40413,5.643522,17.53105,0,0,0,0,0,0
19.82282,-23.41148,5.63272,17.55024,0,0,0,0,0,0
19.85615,-23.41714,5.62437,17.56554,0,0,0,0,0,0
19.88948,-23.42519,5.612401,17.58875,0,0,0,0,0,0
19.92282,-23.43682,5.596704,17.61787,0,0,0,0,0,0
19.95615,-23.44358,5.58802,17.63265,0,0,0,0,0,0
19.98948,-23.45451,5.576615,17.64789,0,0,0,0,0,0
20.02282,-23.46322,5.566011,17.66081,0,0,0,0,0,0
20.05615,-23.46774,5.560123,17.66601,0,0,0,0,0,0
20.08949,-23.47061,5.553978,17.66984,0,0,0,0,0,0
20.12282,-23.47585,5.546688,17.67597,0,0,0,0,0,0
20.15615,-23.47774,5.540822,17.67999,0,0,0,0,0,0
20.18949,-23.47957,5.536467,17.68227,0,0,0,0,0,0
20.22282,-23.47956,5.534595,17.68098,0,0,0,0,0,0
20.25615,-23.47935,5.534251,17.67638,0,0,0,0,0,0
20.28948,-23.47945,5.534576,17.67246,0,0,0,0,0,0
20.32282,-23.48037,5.531774,17.67374,0,0,0,0,0,0
20.35615,-23.47369,5.530037,17.6774,0,0,0,0,0,0
20.38948,-23.47167,5.51672,17.69244,0,0,0,0,0,0
20.42282,-23.47079,5.510402,17.69608,0,0,0,0,0,0
20.45615,-23.47106,5.505213,17.6978,0,0,0,0,0,0
20.48948,-23.46921,5.497984,17.70025,0,0,0,0,0,0
20.52282,-23.46901,5.490674,17.69963,0,0,0,0,0,0
20.55615,-23.46877,5.482667,17.69957,0,0,0,0,0,0
20.58949,-23.4688,5.471826,17.70421,0,0,0,0,0,0
20.62282,-23.47002,5.456902,17.70768,0,0,0,0,0,0
20.65615,-23.47304,5.440323,17.71449,0,0,0,0,0,0
20.68949,-23.47799,5.4204,17.72431,0,0,0,0,0,0
20.72282,-23.48084,5.406098,17.73495,0,0,0,0,0,0
20.75615,-23.48243,5.391128,17.75164,0,0,0,0,0,0
20.78948,-23.48646,5.377871,17.77356,0,0,0,0,0,0
20.82282,-23.48865,5.370425,17.79201,0,0,0,0,0,0
20.85615,-23.49152,5.367015,17.80226,0,0,0,0,0,0
20.88948,-23.49725,5.366457,17.80914,0,0,0,0,0,0
20.92282,-23.50311,5.368072,17.81678,0,0,0,0,0,0
20.95615,-23.50843,5.372528,17.82389,0,0,0,0,0,0
20.98948,-23.51001,5.377506,17.82675,0,0,0,0,0,0
21.02282,-23.51284,5.386065,17.83032,0,0,0,0,0,0
21.05615,-23.51241,5.393162,17.82912,0,0,0,0,0,0
21.08949,-23.51387,5.400217,17.83025,0,0,0,0,0,0
21.12282,-23.51468,5.408043,17.82556,0,0,0,0,0,0
21.15615,-23.51378,5.415442,17.82007,0,0,0,0,0,0
21.18949,-23.51256,5.419502,17.81684,0,0,0,0,0,0
21.22282,-23.5142,5.422663,17.81802,0,0,0,0,0,0
21.25615,-23.51731,5.42458,17.82606,0,0,0,0,0,0
21.28948,-23.51895,5.426427,17.83541,0,0,0,0,0,0
21.32282,-23.52052,5.432002,17.84503,0,0,0,0,0,0
21.35615,-23.5212,5.43535,17.8497,0,0,0,0,0,0
