Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
146.6449,-23.80502,5.056501,17.92879,0,0,0,0,0,0
146.6542,-23.80502,5.056501,17.92879,0,0,0,0,0,0
146.6615,-23.8032,5.056444,17.92738,0,0,0,0,0,0
146.6692,-23.8032,5.056444,17.92738,0,0,0,0,0,0
146.6763,-23.8032,5.056444,17.92738,0,0,0,0,0,0
146.6831,-23.80426,5.056501,17.92384,0,0,0,0,0,0
146.6909,-23.80426,5.056501,17.92384,0,0,0,0,0,0
146.7,-23.80426,5.056501,17.92384,0,0,0,0,0,0
146.7088,-23.80376,5.056511,17.92054,0,0,0,0,0,0
146.7186,-23.80376,5.056511,17.92054,0,0,0,0,0,0
146.7269,-23.80351,5.05652,17.91888,0,0,0,0,0,0
146.7372,-23.80351,5.05652,17.91888,0,0,0,0,0,0
146.7444,-23.80326,5.056531,17.91723,0,0,0,0,0,0
146.7537,-23.80326,5.056531,17.91723,0,0,0,0,0,0
146.7623,-23.80326,5.056531,17.91723,0,0,0,0,0,0
146.7727,-23.80326,5.056531,17.91723,0,0,0,0,0,0
146.7813,-23.80169,5.056476,17.91747,0,0,0,0,0,0
146.7896,-23.80169,5.056476,17.91747,0,0,0,0,0,0
146.7972,-23.80169,5.056476,17.91747,0,0,0,0,0,0
146.8058,-23.80301,5.056543,17.91558,0,0,0,0,0,0
146.817,-23.80301,5.056543,17.91558,0,0,0,0,0,0
146.8279,-23.80144,5.056489,17.91582,0,0,0,0,0,0
146.8361,-23.80144,5.056489,17.91582,0,0,0,0,0,0
146.8434,-23.80144,5.056489,17.91582,0,0,0,0,0,0
146.8518,-23.80144,5.056489,17.91582,0,0,0,0,0,0
146.8602,-23.80276,5.056558,17.91393,0,0,0,0,0,0
146.8715,-23.80276,5.056558,17.91393,0,0,0,0,0,0
146.8806,-23.8025,5.056575,17.91228,0,0,0,0,0,0
146.889,-23.8025,5.056575,17.91228,0,0,0,0,0,0
146.8972,-23.8025,5.056575,17.91228,0,0,0,0,0,0
146.9075,-23.80211,5.057099,17.90967,0,0,0,0,0,0
146.9165,-23.80211,5.057099,17.90967,0,0,0,0,0,0
146.9241,-23.80111,5.057202,17.90307,0,0,0,0,0,0
146.9319,-23.80111,5.057202,17.90307,0,0,0,0,0,0
146.9395,-23.80111,5.057202,17.90307,0,0,0,0,0,0
146.9481,-23.79984,5.057381,17.89482,0,0,0,0,0,0
146.9563,-23.79984,5.057381,17.89482,0,0,0,0,0,0
146.965,-23.79909,5.057512,17.88987,0,0,0,0,0,0
146.9733,-23.79909,5.057512,17.88987,0,0,0,0,0,0
146.9803,-23.79858,5.057611,17.88657,0,0,0,0,0,0
146.9881,-23.79858,5.057611,17.88657,0,0,0,0,0,0
146.9954,-23.79858,5.057611,17.88657,0,0,0,0,0,0
147.0023,-23.79782,5.057775,17.88162,0,0,0,0,0,0
147.0105,-23.79782,5.057775,17.88162,0,0,0,0,0,0
147.0175,-23.79782,5.057775,17.88162,0,0,0,0,0,0
147.0257,-23.79573,5.05784,17.87857,0,0,0,0,0,0
147.0374,-23.79573,5.05784,17.87857,0,0,0,0,0,0
147.0442,-23.79415,5.057787,17.87881,0,0,0,0,0,0
147.052,-23.79415,5.057787,17.87881,0,0,0,0,0,0
147.0596,-23.79415,5.057787,17.87881,0,0,0,0,0,0
147.0667,-23.79415,5.057787,17.87881,0,0,0,0,0,0
147.0745,-23.79415,5.057787,17.87881,0,0,0,0,0,0
147.0813,-23.79256,5.057735,17.87905,0,0,0,0,0,0
147.0907,-23.79256,5.057735,17.87905,0,0,0,0,0,0
147.099,-23.79256,5.057735,17.87905,0,0,0,0,0,0
147.1065,-23.79256,5.057735,17.87905,0,0,0,0,0,0
147.1142,-23.79256,5.057735,17.87905,0,0,0,0,0,0
147.1211,-23.79123,5.057625,17.88094,0,0,0,0,0,0
147.129,-23.79123,5.057625,17.88094,0,0,0,0,0,0
147.136,-23.79123,5.057625,17.88094,0,0,0,0,0,0
147.1429,-23.79012,5.058462,17.8842,0,0,0,0,0,0
147.1507,-23.79012,5.058462,17.8842,0,0,0,0,0,0
147.1581,-23.79012,5.058462,17.8842,0,0,0,0,0,0
147.1652,-23.78729,5.059792,17.88674,0,0,0,0,0,0
147.1734,-23.78729,5.059792,17.88674,0,0,0,0,0,0
147.1825,-23.78155,5.061007,17.89141,0,0,0,0,0,0
147.1908,-23.78155,5.061007,17.89141,0,0,0,0,0,0
147.198,-23.78155,5.061007,17.89141,0,0,0,0,0,0
147.2049,-23.77864,5.060892,17.89356,0,0,0,0,0,0
147.2131,-23.77864,5.060892,17.89356,0,0,0,0,0,0
147.2212,-23.77427,5.061236,17.89664,0,0,0,0,0,0
147.2298,-23.77427,5.061236,17.89664,0,0,0,0,0,0
147.2368,-23.77427,5.061236,17.89664,0,0,0,0,0,0
147.2439,-23.7697,5.06129,17.89856,0,0,0,0,0,0
147.2524,-23.7697,5.06129,17.89856,0,0,0,0,0,0
147.261,-23.7647,5.061285,17.89767,0,0,0,0,0,0
147.269,-23.7647,5.061285,17.89767,0,0,0,0,0,0
147.2776,-23.7647,5.061285,17.89767,0,0,0,0,0,0
147.2843,-23.76191,5.061694,17.90051,0,0,0,0,0,0
147.2937,-23.76191,5.061694,17.90051,0,0,0,0,0,0
147.3007,-23.76033,5.061687,17.90077,0,0,0,0,0,0
147.3092,-23.76033,5.061687,17.90077,0,0,0,0,0,0
147.3168,-23.76033,5.061687,17.90077,0,0,0,0,0,0
147.3261,-23.75751,5.06147,17.90341,0,0,0,0,0,0
147.3344,-23.75751,5.06147,17.90341,0,0,0,0,0,0
147.3418,-23.75647,5.061391,17.90697,0,0,0,0,0,0
147.3496,-23.75647,5.061391,17.90697,0,0,0,0,0,0
147.3579,-23.75647,5.061391,17.90697,0,0,0,0,0,0
147.3648,-23.75482,5.061554,17.90674,0,0,0,0,0,0
147.3755,-23.75482,5.061554,17.90674,0,0,0,0,0,0
147.3822,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.39,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.3971,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.4043,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.4131,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.4199,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.4277,-23.75543,5.061323,17.91052,0,0,0,0,0,0
147.4362,-23.75543,5.061323,17.91052,0,0,0,0,0,0
147.4429,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.4506,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.4576,-23.75517,5.061356,17.90887,0,0,0,0,0,0
147.4648,-23.75359,5.061357,17.90913,0,0,0,0,0,0
147.4725,-23.75359,5.061357,17.90913,0,0,0,0,0,0
147.4798,-23.75359,5.061357,17.90913,0,0,0,0,0,0
147.4868,-23.75305,5.061429,17.90584,0,0,0,0,0,0
147.4948,-23.75305,5.061429,17.90584,0,0,0,0,0,0
147.5021,-23.7525,5.061508,17.90254,0,0,0,0,0,0
147.5102,-23.7525,5.061508,17.90254,0,0,0,0,0,0
147.517,-23.7525,5.061508,17.90254,0,0,0,0,0,0
147.5243,-23.75046,5.061436,17.89999,0,0,0,0,0,0
147.5322,-23.75046,5.061436,17.89999,0,0,0,0,0,0
147.5394,-23.75046,5.061436,17.89999,0,0,0,0,0,0
147.5472,-23.74905,5.061375,17.89734,0,0,0,0,0,0
147.556,-23.74905,5.061375,17.89734,0,0,0,0,0,0
147.5634,-23.74728,5.061267,17.89644,0,0,0,0,0,0
147.5727,-23.74728,5.061267,17.89644,0,0,0,0,0,0
147.5804,-23.7455,5.061167,17.89554,0,0,0,0,0,0
147.5885,-23.7455,5.061167,17.89554,0,0,0,0,0,0
147.596,-23.7455,5.061167,17.89554,0,0,0,0,0,0
147.603,-23.74159,5.061201,17.89161,0,0,0,0,0,0
147.6142,-23.74159,5.061201,17.89161,0,0,0,0,0,0
147.6221,-23.74132,5.061263,17.88997,0,0,0,0,0,0
147.6302,-23.74132,5.061263,17.88997,0,0,0,0,0,0
147.6372,-23.74132,5.061263,17.88997,0,0,0,0,0,0
147.6448,-23.73946,5.061343,17.88859,0,0,0,0,0,0
147.6531,-23.73946,5.061343,17.88859,0,0,0,0,0,0
147.6607,-23.73926,5.061244,17.88743,0,0,0,0,0,0
147.6709,-23.73926,5.061244,17.88743,0,0,0,0,0,0
147.6794,-23.73926,5.061244,17.88743,0,0,0,0,0,0
147.6881,-23.7377,5.062102,17.88789,0,0,0,0,0,0
147.6966,-23.7377,5.062102,17.88789,0,0,0,0,0,0
147.7055,-23.73936,5.062126,17.88811,0,0,0,0,0,0
147.7164,-23.73936,5.062126,17.88811,0,0,0,0,0,0
147.7238,-23.74018,5.06233,17.89304,0,0,0,0,0,0
147.7341,-23.74018,5.06233,17.89304,0,0,0,0,0,0
147.7442,-23.74087,5.06197,17.90116,0,0,0,0,0,0
147.7528,-23.74087,5.06197,17.90116,0,0,0,0,0,0
147.76,-23.74378,5.061412,17.90892,0,0,0,0,0,0
147.7682,-23.74378,5.061412,17.90892,0,0,0,0,0,0
147.7765,-23.74378,5.061412,17.90892,0,0,0,0,0,0
147.7836,-23.74755,5.060103,17.9219,0,0,0,0,0,0
