Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ,BlueSphereX,BlueSphereY,BlueSphereZ
13.3569,-22.99817,5.879776,17.81863,0,0,0,0,0,0
13.39024,-23.00034,5.879288,17.81724,0,0,0,0,0,0
13.42357,-23.00224,5.879386,17.82144,0,0,0,0,0,0
13.4569,-23.00365,5.879005,17.82508,0,0,0,0,0,0
13.49024,-23.00272,5.879041,17.82479,0,0,0,0,0,0
13.52357,-22.9951,5.878531,17.82531,0,0,0,0,0,0
13.5569,-22.98502,5.87602,17.82513,0,0,0,0,0,0
13.59024,-22.97241,5.874633,17.83008,0,0,0,0,0,0
13.62357,-22.96183,5.874222,17.83118,0,0,0,0,0,0
13.6569,-22.95261,5.874395,17.83314,0,0,0,0,0,0
13.69024,-22.94677,5.873993,17.83239,0,0,0,0,0,0
13.72357,-22.9408,5.874129,17.83198,0,0,0,0,0,0
13.7569,-22.93602,5.874238,17.83022,0,0,0,0,0,0
13.79024,-22.93457,5.871217,17.82969,0,0,0,0,0,0
13.82357,-22.93933,5.866075,17.82594,0,0,0,0,0,0
13.8569,-22.94634,5.857944,17.83003,0,0,0,0,0,0
13.89024,-22.95251,5.852699,17.83646,0,0,0,0,0,0
13.92357,-22.96329,5.848139,17.84438,0,0,0,0,0,0
13.9569,-22.97118,5.846303,17.85092,0,0,0,0,0,0
13.99024,-22.97742,5.845916,17.85451,0,0,0,0,0,0
14.02357,-22.983,5.846016,17.85822,0,0,0,0,0,0
14.0569,-22.98424,5.846017,17.85865,0,0,0,0,0,0
14.09024,-22.98762,5.846041,17.85981,0,0,0,0,0,0
14.12357,-22.98948,5.846042,17.86044,0,0,0,0,0,0
14.1569,-22.99225,5.84607,17.86139,0,0,0,0,0,0
14.19024,-22.99377,5.846102,17.86191,0,0,0,0,0,0
14.22357,-22.99645,5.846079,17.86107,0,0,0,0,0,0
14.2569,-22.99754,5.84598,17.85791,0,0,0,0,0,0
14.29024,-22.99906,5.846014,17.85844,0,0,0,0,0,0
14.32357,-23.00058,5.84605,17.85896,0,0,0,0,0,0
14.3569,-23.0015,5.844484,17.85631,0,0,0,0,0,0
14.39024,-23.0039,5.840982,17.85433,0,0,0,0,0,0
14.42357,-23.00661,5.833353,17.85151,0,0,0,0,0,0
14.4569,-23.00954,5.819428,17.84817,0,0,0,0,0,0
14.49024,-23.00943,5.804991,17.84674,0,0,0,0,0,0
14.52357,-23.00908,5.79603,17.84791,0,0,0,0,0,0
14.5569,-23.00874,5.785056,17.84908,0,0,0,0,0,0
14.59024,-23.00809,5.778935,17.85308,0,0,0,0,0,0
14.62357,-23.00625,5.776192,17.85842,0,0,0,0,0,0
14.6569,-23.00513,5.775581,17.86166,0,0,0,0,0,0
14.69024,-23.0046,5.77356,17.85823,0,0,0,0,0,0
14.72357,-23.0064,5.770785,17.856,0,0,0,0,0,0
14.7569,-23.00772,5.763397,17.85221,0,0,0,0,0,0
14.79024,-23.00966,5.755343,17.84668,0,0,0,0,0,0
14.82357,-23.01256,5.738611,17.8385,0,0,0,0,0,0
14.8569,-23.01458,5.718773,17.8329,0,0,0,0,0,0
14.89024,-23.01564,5.693584,17.83015,0,0,0,0,0,0
14.92357,-23.01414,5.658534,17.83491,0,0,0,0,0,0
14.9569,-23.01381,5.629231,17.83816,0,0,0,0,0,0
14.99024,-23.01199,5.608086,17.84364,0,0,0,0,0,0
15.02357,-23.00886,5.585717,17.84783,0,0,0,0,0,0
15.0569,-23.00973,5.567111,17.85052,0,0,0,0,0,0
15.09024,-23.00683,5.548182,17.85901,0,0,0,0,0,0
15.12357,-23.00467,5.53208,17.86731,0,0,0,0,0,0
15.1569,-23.00321,5.519798,17.8736,0,0,0,0,0,0
15.19024,-22.99876,5.50604,17.87836,0,0,0,0,0,0
15.22357,-22.99538,5.498949,17.88303,0,0,0,0,0,0
15.2569,-22.98769,5.486294,17.88493,0,0,0,0,0,0
15.29024,-22.9834,5.476331,17.88712,0,0,0,0,0,0
15.32357,-22.9822,5.461788,17.89059,0,0,0,0,0,0
15.3569,-22.97885,5.449345,17.89009,0,0,0,0,0,0
15.39024,-22.97598,5.43529,17.89323,0,0,0,0,0,0
15.42357,-22.97227,5.423769,17.89878,0,0,0,0,0,0
15.4569,-22.96703,5.415367,17.90364,0,0,0,0,0,0
15.49024,-22.95986,5.406469,17.90894,0,0,0,0,0,0
15.52357,-22.95144,5.402779,17.91783,0,0,0,0,0,0
15.5569,-22.94449,5.403468,17.92253,0,0,0,0,0,0
15.59024,-22.94161,5.40469,17.9257,0,0,0,0,0,0
15.62357,-22.94161,5.40469,17.9257,0,0,0,0,0,0
15.6569,-22.94022,5.40418,17.92463,0,0,0,0,0,0
15.69024,-22.93902,5.404193,17.92598,0,0,0,0,0,0
15.72357,-22.93885,5.402484,17.92646,0,0,0,0,0,0
15.7569,-22.93942,5.400245,17.92484,0,0,0,0,0,0
15.79024,-22.93784,5.397676,17.92136,0,0,0,0,0,0
15.82357,-22.93762,5.395154,17.92229,0,0,0,0,0,0
15.8569,-22.9381,5.394498,17.92418,0,0,0,0,0,0
15.89024,-22.93868,5.394378,17.92494,0,0,0,0,0,0
15.92357,-22.94825,5.394214,17.92883,0,0,0,0,0,0
15.9569,-22.95699,5.395255,17.92776,0,0,0,0,0,0
15.99024,-22.96715,5.396285,17.92534,0,0,0,0,0,0
16.02357,-22.97793,5.396844,17.92427,0,0,0,0,0,0
16.0569,-22.98543,5.396017,17.92543,0,0,0,0,0,0
16.09024,-22.99263,5.392585,17.9309,0,0,0,0,0,0
16.12357,-22.99677,5.38581,17.93505,0,0,0,0,0,0
16.1569,-22.99879,5.380523,17.94021,0,0,0,0,0,0
16.19024,-22.99983,5.371914,17.94975,0,0,0,0,0,0
16.22357,-23,5.358689,17.95403,0,0,0,0,0,0
16.2569,-23.00293,5.339797,17.96317,0,0,0,0,0,0
16.29024,-23.00421,5.321966,17.97401,0,0,0,0,0,0
16.32357,-23.00311,5.309478,17.98355,0,0,0,0,0,0
16.3569,-23.00285,5.296041,17.99364,0,0,0,0,0,0
16.39024,-23.00261,5.28375,18.0061,0,0,0,0,0,0
16.42357,-23.00091,5.274991,18.01514,0,0,0,0,0,0
16.4569,-23.00119,5.266038,18.02,0,0,0,0,0,0
16.49024,-22.99993,5.257164,18.02422,0,0,0,0,0,0
16.52357,-22.9953,5.246862,18.03396,0,0,0,0,0,0
16.5569,-22.99127,5.24046,18.03841,0,0,0,0,0,0
16.59024,-22.98879,5.236231,18.04023,0,0,0,0,0,0
16.62357,-22.98518,5.231992,18.04519,0,0,0,0,0,0
16.6569,-22.98358,5.227252,18.04665,0,0,0,0,0,0
16.69024,-22.98109,5.223378,18.05117,0,0,0,0,0,0
16.72357,-22.97783,5.222121,18.05316,0,0,0,0,0,0
16.7569,-22.97497,5.220009,18.05373,0,0,0,0,0,0
16.79024,-22.97518,5.218875,18.05295,0,0,0,0,0,0
16.82357,-22.97318,5.216328,18.05122,0,0,0,0,0,0
16.8569,-22.9721,5.214133,18.05225,0,0,0,0,0,0
16.89024,-22.96946,5.213273,18.0501,0,0,0,0,0,0
16.92357,-22.9691,5.213992,18.04679,0,0,0,0,0,0
16.9569,-22.96787,5.215173,18.04245,0,0,0,0,0,0
16.99024,-22.97108,5.21609,18.03814,0,0,0,0,0,0
17.02357,-22.97305,5.218047,18.03473,0,0,0,0,0,0
17.0569,-22.97589,5.218717,18.03098,0,0,0,0,0,0
17.09024,-22.97775,5.220786,18.03054,0,0,0,0,0,0
17.12357,-22.97788,5.221837,18.03009,0,0,0,0,0,0
17.1569,-22.97859,5.224968,18.03355,0,0,0,0,0,0
17.19024,-22.9781,5.228397,18.03776,0,0,0,0,0,0
17.22357,-22.97803,5.230655,18.03799,0,0,0,0,0,0
17.2569,-22.97606,5.232384,18.03878,0,0,0,0,0,0
17.29024,-22.97778,5.232588,18.03881,0,0,0,0,0,0
17.32357,-22.97731,5.232526,18.04041,0,0,0,0,0,0
17.3569,-22.97572,5.232551,18.03994,0,0,0,0,0,0
17.39024,-22.97684,5.232465,18.04201,0,0,0,0,0,0
17.42357,-22.97607,5.232721,18.04131,0,0,0,0,0,0
17.4569,-22.97998,5.233873,18.04166,0,0,0,0,0,0
17.49024,-22.98419,5.236652,18.04208,0,0,0,0,0,0
17.52357,-22.99417,5.241809,18.04234,0,0,0,0,0,0
17.5569,-23.00488,5.251336,18.0418,0,0,0,0,0,0
17.59024,-23.01345,5.261167,18.03991,0,0,0,0,0,0
17.62357,-23.03152,5.274048,18.03378,0,0,0,0,0,0
17.6569,-23.04711,5.283829,18.02504,0,0,0,0,0,0
17.69024,-23.06266,5.296247,18.01863,0,0,0,0,0,0
17.72357,-23.07176,5.301721,18.00905,0,0,0,0,0,0
17.7569,-23.08494,5.305954,18.00111,0,0,0,0,0,0
